sim_time; tb3_0?world_angular_velocity/y
127,58;0,00354796
127,581;-0,00399861
127,582;0,00352892
127,583;-0,00409705
127,584;0,00348556
127,585;-0,00420341
127,586;0,00346664
127,587;-0,00428237
127,588;0,00345089
127,589;-0,0043538
127,59;0,00347505
127,591;-0,00442539
127,592;0,00338414
127,593;-0,000300558
127,594;-0,00687745
127,595;0,00620385
127,596;-0,000226897
127,597;-0,00713183
127,598;0,00615876
127,599;-0,000346984
127,6;-0,00744055
127,601;0,00587337
127,602;-0,000242895
127,603;-0,00149867
127,604;9,77E-05
127,605;-6,82E-05
127,606;-0,000189364
127,607;-0,00807283
127,608;0,00581174
127,609;-0,000517568
127,61;-0,00848579
127,611;0,00576826
127,612;-0,00116451
127,613;-0,000913084
127,614;0,00146028
127,615;-0,00159541
127,616;-0,00242136
127,617;-0,000850182
127,618;0,0011511
127,619;-0,000934561
127,62;-0,00147031
127,621;-0,00220817
127,622;0,00143648
127,623;-0,000940411
127,624;0,00368192
127,625;5,18E-06
127,626;-0,000306033
127,627;-0,000366928
127,628;-0,000352177
127,629;-0,000344894
127,63;-0,00034611
127,631;-0,000320553
127,632;-0,000469247
127,633;0,00286693
127,634;0,000905351
127,635;-0,00479099
127,636;0,00565118
127,637;-0,0016337
127,638;0,00197554
127,639;0,000153203
127,64;0,00192946
127,641;-0,00127054
127,642;0,00774892
127,643;0,00242334
127,644;0,00161485
127,645;-0,00399633
127,646;0,00587371
127,647;0,000124083
127,648;-0,000149262
127,649;-0,000306982
127,65;-0,000408035
127,651;-0,000491721
127,652;-0,000557321
127,653;-0,000589685
127,654;-0,000577817
127,655;-0,00052168
127,656;0,000699987
127,657;0,0026907
127,658;0,000899834
127,659;0,000225494
127,66;-0,000333903
127,661;-0,00074287
127,662;-0,001021
127,663;9,63E-05
127,664;0,00196574
127,665;-0,000163684
127,666;-0,000839079
127,667;-0,00125311
127,668;0,000527907
127,669;0,00136269
127,67;-0,000355653
127,671;-0,000943025
127,672;-2,30E-05
127,673;0,00152037
127,674;-0,000560232
127,675;-0,00104134
127,676;0,000539987
127,677;0,00122656
127,678;-0,000324636
127,679;-0,00082432
127,68;0,00091864
127,681;0,00109367
127,682;-0,000307277
127,683;-0,000792211
127,684;0,00118002
127,685;0,000809296
127,686;-0,000452732
127,687;0,000341577
127,688;-0,00477041
127,689;0,00613437
127,69;-0,000170849
127,691;-0,000427568
127,692;1,28E-06
127,693;0,000678213
127,694;-0,0012733
127,695;-8,98E-05
127,696;0,000760366
127,697;-0,00127879
127,698;-0,000122467
127,699;0,000753497
127,7;-0,00132937
127,701;-0,000839311
127,702;0,00158555
127,703;-0,0014306
127,704;-0,00199419
127,705;0,000748622
127,706;0,00030681
127,707;-0,00101631
127,708;-2,31E-06
127,709;-0,000768527
127,71;6,05E-05
127,711;-0,0069348
127,712;0,00605996
127,713;-0,00129911
127,714;-0,000300252
127,715;-0,000519389
127,716;-0,00153931
127,717;-0,00059779
127,718;0,00142856
127,719;-0,00120141
127,72;-0,00192746
127,721;-0,00235487
127,722;-8,09E-05
127,723;0,00138407
127,724;-0,000674213
127,725;-0,00144324
127,726;-0,00194194
127,727;-0,00205918
127,728;-0,0026562
127,729;0,00127424
127,73;0,00111308
127,731;0,00223661
127,732;0,00053832
127,733;0,000242696
127,734;0,000153508
127,735;9,63E-05
127,736;-1,23E-05
127,737;-0,000167373
127,738;-0,000326539
127,739;-0,000402197
127,74;-0,000369759
127,741;-0,000254463
127,742;-0,00012282
127,743;-0,0065238
127,744;0,00454726
127,745;-2,57E-05
127,746;-0,00590547
127,747;0,00678467
127,748;0,00267181
127,749;-0,00232985
127,75;0,00650267
127,751;0,00157539
127,752;-0,00411614
127,753;0,00524557
127,754;0,000528227
127,755;-0,0050465
127,756;0,00438808
127,757;-0,00035881
127,758;-0,00536419
127,759;0,00366164
127,76;-0,000862006
127,761;-0,00510408
127,762;0,00330178
127,763;-0,000994881
127,764;-0,00446987
127,765;0,00506298
127,766;-0,000440356
