sim_time; tb3_0?world_linear_velocity/x; tb3_0?world_linear_velocity/y;; tb3_1?world_linear_velocity/x; tb3_1?world_linear_velocity/y
127,598;0,000134557;4,97E-05;1,43E-04;0,0336631;-0,00414466
127,599;8,82E-06;-8,97E-06;1,26E-05;0,0336581;-0,00420562
127,6;-7,98E-05;-0,000209773;2,24E-04;0,0336808;-0,00434309
127,601;0,000147494;8,69E-05;1,71E-04;0,0336972;-0,00439268
127,602;-2,60E-05;2,36E-05;3,51E-05;0,0337246;-0,0045399
127,603;0,000124167;-0,000116032;1,70E-04;0,0337609;-0,00458005
127,604;-5,76E-05;4,19E-05;7,13E-05;0,0337945;-0,00473293
127,605;3,05E-05;-3,02E-05;4,30E-05;0,0338459;-0,00476723
127,606;-1,16E-05;1,01E-05;1,54E-05;0,0339041;-0,00489871
127,607;-9,75E-05;-0,000123973;1,58E-04;0,0339519;-0,00494083
127,608;0,000134163;5,51E-05;1,45E-04;0,0340059;-0,00508831
127,609;-3,51E-05;3,27E-05;4,80E-05;0,0340529;-0,00513464
127,61;-0,000130546;-8,98E-05;1,58E-04;0,0341057;-0,00528522
127,611;8,23E-05;5,08E-05;9,67E-05;0,034154;-0,00533207
127,612;-3,49E-06;3,20E-06;4,74E-06;0,0342149;-0,00547968
127,613;-0,000219327;0,000118768;2,49E-04;0,0342318;-0,00554649
127,614;-4,84E-05;4,10E-05;6,34E-05;0,0343136;-0,00564455
127,615;3,32E-05;-3,08E-05;4,52E-05;0,0343902;-0,00579238
127,616;0,000113039;-0,000104427;1,54E-04;0,0344068;-0,00585023
127,617;-0,000136406;0,000112138;1,77E-04;0,0344839;-0,0059529
127,618;-4,29E-05;3,66E-05;5,64E-05;0,034562;-0,00609989
127,619;1,14E-05;-1,03E-05;1,53E-05;0,0345712;-0,00615851
127,62;7,31E-05;-6,74E-05;9,95E-05;0,0346367;-0,0062562
127,621;0,000137583;-0,000126357;1,87E-04;0,0347196;-0,00638551
127,622;-2,49E-05;7,29E-05;7,71E-05;0,0347401;-0,00646847
127,623;-0,000306754;5,53E-05;3,12E-04;0,0347946;-0,00657818
127,624;-0,000142425;0,00012632;1,90E-04;0,0348629;-0,00670679
127,625;-0,000104665;9,68E-05;1,43E-04;0,0349006;-0,00680575
127,626;-4,19E-05;3,88E-05;5,71E-05;0,0349587;-0,00692117
127,627;4,50E-06;-4,23E-06;6,18E-06;0,0350264;-0,00704593
127,628;3,87E-05;-3,60E-05;5,29E-05;0,0350817;-0,00715303
127,629;6,31E-05;-5,89E-05;8,63E-05;0,0351422;-0,00726716
127,63;7,92E-05;-7,41E-05;1,08E-04;0,0352037;-0,00738209
127,631;8,75E-05;-8,22E-05;1,20E-04;0,0352625;-0,00749411
127,632;-7,53E-05;-0,000146438;1,65E-04;0,0353157;-0,00760118
127,633;-6,51E-05;-5,33E-05;8,41E-05;0,0353614;-0,00770244
127,634;-0,000115475;-7,97E-05;1,40E-04;0,0353978;-0,00779784
127,635;-0,00033156;-0,000265856;4,25E-04;0,0354238;-0,00788789
127,636;2,21E-05;-3,52E-05;4,16E-05;0,0354387;-0,00797348
127,637;-0,000171481;-0,000155537;2,32E-04;0,0354425;-0,0080556
127,638;-1,70E-05;-8,71E-05;8,88E-05;0,0354355;-0,00813545
127,639;-2,82E-05;-0,000108696;1,12E-04;0,0354188;-0,00821421
127,64;-0,000112067;2,08E-05;1,14E-04;0,0353939;-0,00829294
127,641;-0,000363813;-0,000258208;4,46E-04;0,0353623;-0,00837255
127,642;-0,000116557;-0,000124833;1,71E-04;0,0353259;-0,00845373
127,643;-0,000233585;-0,000304749;3,84E-04;0,0352864;-0,00853695
127,644;-0,000199698;-0,000381143;4,30E-04;0,0352455;-0,00862243
127,645;-0,000402866;-0,000633534;7,51E-04;0,0352045;-0,00871022
127,646;-4,65E-05;-0,000407191;4,10E-04;0,0351645;-0,00880014
127,647;-0,000132854;-0,000490949;5,09E-04;0,0351263;-0,0088919
127,648;-8,60E-05;-0,000476515;4,84E-04;0,0350905;-0,00898509
127,649;-4,58E-05;-0,000457008;4,59E-04;0,0350572;-0,00907931
127,65;-1,26E-05;-0,000434314;4,34E-04;0,0350265;-0,00917411
127,651;1,40E-05;-0,000412313;4,13E-04;0,0349982;-0,00926907
127,652;3,40E-05;-0,000393628;3,95E-04;0,0349723;-0,00936387
127,653;4,80E-05;-0,000379229;3,82E-04;0,0349482;-0,00945819
127,654;5,66E-05;-0,000368699;3,73E-04;0,0349257;-0,00955183
127,655;6,08E-05;-0,000360577;3,66E-04;0,0349041;-0,00964463
127,656;-0,000149941;-0,000330113;3,63E-04;0,0348831;-0,00973657
127,657;-0,000196665;-0,000269042;3,33E-04;0,0348623;-0,00982765
