sim_time; tb3_0?world_linear_velocity/y
127,598;4,97E-05
127,599;-8,97E-06
127,6;-0,000209773
127,601;8,69E-05
127,602;2,36E-05
127,603;-0,000116032
127,604;4,19E-05
127,605;-3,02E-05
127,606;1,01E-05
127,607;-0,000123973
127,608;5,51E-05
127,609;3,27E-05
127,61;-8,98E-05
127,611;5,08E-05
127,612;3,20E-06
127,613;0,000118768
127,614;4,10E-05
127,615;-3,08E-05
127,616;-0,000104427
127,617;0,000112138
127,618;3,66E-05
127,619;-1,03E-05
127,62;-6,74E-05
127,621;-0,000126357
127,622;7,29E-05
127,623;5,53E-05
127,624;0,00012632
127,625;9,68E-05
127,626;3,88E-05
127,627;-4,23E-06
127,628;-3,60E-05
127,629;-5,89E-05
127,63;-7,41E-05
127,631;-8,22E-05
127,632;-0,000146438
127,633;-5,33E-05
127,634;-7,97E-05
127,635;-0,000265856
127,636;-3,52E-05
127,637;-0,000155537
127,638;-8,71E-05
127,639;-0,000108696
127,64;2,08E-05
127,641;-0,000258208
127,642;-0,000124833
127,643;-0,000304749
127,644;-0,000381143
127,645;-0,000633534
127,646;-0,000407191
127,647;-0,000490949
127,648;-0,000476515
127,649;-0,000457008
127,65;-0,000434314
127,651;-0,000412313
127,652;-0,000393628
127,653;-0,000379229
127,654;-0,000368699
127,655;-0,000360577
127,656;-0,000330113
127,657;-0,000269042
127,658;-0,000284394
127,659;-0,000278149
127,66;-0,000264974
127,661;-0,000246149
127,662;-0,000227725
127,663;-0,000183587
127,664;-0,00013271
127,665;-0,000160009
127,666;-0,000165866
127,667;-0,000169093
127,668;-0,000109902
127,669;-8,78E-05
127,67;-0,000115951
127,671;-0,000117186
127,672;-0,000105913
127,673;-8,75E-05
127,674;-0,000120018
127,675;-0,000119993
127,676;-9,70E-05
127,677;-9,62E-05
127,678;-0,000130336
127,679;-0,000139502
127,68;-0,000113851
127,681;-0,000119635
127,682;-0,000141804
127,683;-0,00013932
127,684;-9,04E-05
127,685;-9,60E-05
127,686;-0,000102555
127,687;-6,36E-05
127,688;-0,000363506
127,689;-5,68E-05
127,69;-0,000147951
127,691;-9,35E-05
127,692;-5,25E-05
127,693;-2,12E-05
127,694;-9,78E-05
127,695;-1,49E-05
127,696;-1,54E-05
127,697;-9,29E-05
127,698;7,30E-06
127,699;-1,17E-05
127,7;-8,97E-05
127,701;8,74E-06
127,702;-3,77E-06
127,703;-7,31E-05
127,704;-0,000145314
127,705;8,37E-05
127,706;2,68E-05
127,707;-6,02E-05
127,708;3,06E-05
127,709;-5,88E-05
127,71;1,70E-05
127,711;-1,21E-05
127,712;2,60E-05
127,713;-1,65E-05
127,714;8,31E-05
127,715;-1,71E-05
127,716;-7,54E-05
127,717;0,000228754
127,718;8,33E-05
127,719;4,41E-06
127,72;-5,91E-05
127,721;-9,97E-05
127,722;0,000274276
127,723;0,000146081
127,724;5,07E-05
127,725;-8,19E-06
127,726;-2,66E-05
127,727;-1,83E-05
127,728;-1,93E-05
127,729;0,00023209
127,73;0,000323488
127,731;0,000229324
127,732;0,000149581
127,733;9,99E-05
127,734;6,07E-05
127,735;2,81E-05
127,736;2,12E-07
127,737;-2,28E-05
127,738;-4,05E-05
127,739;-5,13E-05
127,74;-5,54E-05
127,741;-5,36E-05
127,742;-4,70E-05
127,743;0,00012932
127,744;0,000232327
127,745;0,000117438
127,746;0,000180576
127,747;0,00043122
127,748;0,000290186
127,749;0,000311483
127,75;0,000277762
127,751;0,000161565
127,752;0,000226038
127,753;0,000230372
127,754;5,53E-05
127,755;0,000133104
127,756;0,000166508
127,757;-6,24E-06
127,758;2,75E-05
127,759;9,25E-05
127,76;-5,29E-05
127,761;-5,28E-05
127,762;3,11E-05
127,763;-0,00010006
127,764;-0,000135706
127,765;-1,22E-05
127,766;-2,33E-05
127,767;-7,79E-05
127,768;5,79E-05
127,769;-2,92E-05
127,77;-6,31E-05
127,771;-2,10E-05
127,772;-0,000110519
127,773;-4,47E-05
127,774;-0,000114495
127,775;-5,29E-05
127,776;-0,000131246
127,777;-6,94E-05
127,778;-0,000181956
127,779;3,95E-06
127,78;-0,000139315
127,781;-6,50E-06
127,782;-0,000170221
127,783;1,28E-05
127,784;-3,61E-05
127,785;-7,08E-05
127,786;-2,13E-05
127,787;-6,33E-05
127,788;-1,03E-05
127,789;7,89E-05
127,79;-6,94E-05
127,791;-0,00024764
127,792;-6,77E-05
127,793;-0,00011726
127,794;-0,00034585
127,795;6,61E-05
127,796;-5,14E-05
127,797;-0,000293593
127,798;2,90E-05
127,799;-0,00015653
127,8;-8,29E-05
127,801;-3,78E-05
127,802;1,49E-05
127,803;-4,44E-05
127,804;-0,000317339
127,805;0,000161016
127,806;5,30E-06
127,807;-0,000114804
127,808;-2,72E-05
127,809;-1,71E-05
127,81;-0,000243284
127,811;0,000272872
127,812;0,000106443
127,813;-0,000108485
127,814;-2,49E-06
127,815;-0,000265098
127,816;0,000190176
127,817;6,44E-05
127,818;5,24E-05
127,819;-0,000222938
127,82;0,000114743
127,821;-1,35E-05
127,822;-5,68E-05
127,823;-1,86E-05
127,824;-0,000141326
127,825;0,000140505
127,826;7,09E-05
127,827;5,82E-05
127,828;7,93E-05
127,829;-4,36E-05
127,83;0,000229071
127,831;0,000173036
127,832;5,83E-05
127,833;0,000299846
127,834;0,000242281
127,835;7,60E-05
127,836;0,000280793
127,837;0,00013361
