sim_time; tb3_1?world_angular_velocity/x
127,598;-0,000153793
127,599;0,00047421
127,6;-0,000469488
127,601;0,000505007
127,602;-0,000697892
127,603;0,000539123
127,604;-0,00082994
127,605;0,000560155
127,606;-0,00034225
127,607;0,000679807
127,608;-0,000529461
127,609;0,000513684
127,61;-0,000649583
127,611;0,000463174
127,612;-0,000537766
127,613;-0,000245106
127,614;-6,25E-05
127,615;-0,000603749
127,616;0,000274201
127,617;0,000403706
127,618;-0,000243437
127,619;0,000337227
127,62;0,000314426
127,621;-7,87E-05
127,622;5,02E-06
127,623;-0,00016074
127,624;-0,000445186
127,625;-0,000368249
127,626;-0,000433332
127,627;-0,000543732
127,628;-0,000441556
127,629;-0,00043382
127,63;-0,000434447
127,631;-0,000411162
127,632;-0,000358703
127,633;-0,000284331
127,634;-0,000198034
127,635;-0,000109046
127,636;-2,50E-05
127,637;5,02E-05
127,638;0,000113418
127,639;0,00016385
127,64;0,000201355
127,641;0,000227455
127,642;0,000243283
127,643;0,000251011
127,644;0,000252602
127,645;0,000249511
127,646;0,000243747
127,647;0,000236813
127,648;0,000229801
127,649;0,00022309
127,65;0,000217378
127,651;0,000212308
127,652;0,000207833
127,653;0,00020414
127,654;0,00020162
127,655;0,000200126
127,656;0,000198998
127,657;0,00019771
127,658;0,000195583
127,659;0,000193117
127,66;0,000190353
127,661;0,000187228
127,662;0,000183947
127,663;0,000179858
127,664;0,000175677
127,665;0,000171586
127,666;0,000167936
127,667;0,000164818
127,668;0,000161973
127,669;0,0001592
127,67;0,000156586
127,671;0,000154289
127,672;0,000152249
127,673;0,000150589
127,674;0,000149138
127,675;0,000147436
127,676;0,000145676
127,677;0,000143635
127,678;0,00014137
127,679;0,00013925
127,68;0,000136754
127,681;0,000134342
127,682;0,000131979
127,683;0,000129648
127,684;0,000127249
127,685;0,000124681
127,686;0,000121796
127,687;0,000118209
127,688;0,000114337
127,689;0,000110558
127,69;0,000106925
127,691;0,000103485
127,692;0,000100174
127,693;8,96E-05
127,694;4,91E-05
127,695;2,98E-05
127,696;-2,75E-05
127,697;-4,93E-05
127,698;-9,99E-05
127,699;-0,000105802
127,7;-0,000138408
127,701;-0,000112073
127,702;-0,000112883
127,703;-6,41E-05
127,704;-7,83E-05
127,705;-6,06E-05
127,706;-8,65E-05
127,707;-7,11E-05
127,708;-0,000103081
127,709;-8,12E-05
127,71;-8,62E-05
127,711;-5,23E-05
127,712;-5,93E-05
127,713;0,0025967
127,714;0,00232536
127,715;0,000573897
127,716;-0,00121818
127,717;-0,00273935
127,718;-0,00345092
127,719;-0,00328722
127,72;-0,0024487
127,721;-0,00163226
127,722;-0,00161519
127,723;-0,00149899
127,724;-0,000831979
127,725;-0,000110161
127,726;0,000147148
127,727;0,000253976
127,728;-0,000205033
127,729;-0,000453568
127,73;-0,000873724
127,731;-0,00129859
127,732;-0,00158201
127,733;-0,00165385
127,734;-0,00151351
127,735;-0,00121241
127,736;-0,000825205
127,737;-0,00043061
127,738;-0,000102901
127,739;0,000106178
127,74;0,000210864
127,741;0,000236696
127,742;0,000209844
127,743;0,000116195
127,744;2,38E-05
127,745;-4,10E-05
127,746;-7,58E-05
127,747;-8,25E-05
127,748;-7,20E-05
127,749;-4,82E-05
127,75;-1,66E-05
127,751;1,75E-05
127,752;5,17E-05
127,753;8,74E-05
127,754;0,000126808
127,755;0,000173086
127,756;0,000228882
127,757;0,000294655
127,758;0,000372913
127,759;0,000465266
127,76;0,000556343
127,761;0,000649701
127,762;0,000747855
127,763;0,000852746
127,764;0,000965422
127,765;0,00108733
127,766;0,0012236
127,767;0,00137047
127,768;0,000521251
127,769;0,000201097
127,77;0,000226104
127,771;0,000402993
127,772;0,0006728
127,773;-0,000260767
127,774;-0,000537425
127,775;-0,00038454
127,776;-6,99E-05
127,777;0,000303053
127,778;0,000687143
127,779;0,000266727
127,78;0,000231854
127,781;0,000389073
127,782;0,000584713
127,783;0,000767134
127,784;0,00092435
127,785;0,00104332
127,786;0,00110708
127,787;0,00110096
127,788;0,0010189
127,789;0,000865235
127,79;0,000652746
127,791;0,000398799
127,792;0,000123241
127,793;-0,000155016
127,794;-0,000418632
127,795;-0,000652907
127,796;-0,000847906
127,797;-0,000995185
127,798;-0,00109265
127,799;-0,00113816
127,8;-0,00113455
127,801;-0,0010862
127,802;-0,000999251
127,803;-0,000882292
127,804;-0,000744838
127,805;-0,000595719
127,806;-0,000443968
127,807;-0,000298725
127,808;-0,000166922
127,809;-5,44E-05
127,81;3,43E-05
127,811;9,65E-05
127,812;0,000132142
127,813;0,00120276
127,814;0,00103371
127,815;0,000433815
127,816;-0,000227029
127,817;-0,000813228
127,818;-0,00125257
127,819;-0,00148755
127,82;-0,00148911
127,821;-0,00127342
127,822;-0,000899142
127,823;-0,00045008
127,824;-1,09E-05
127,825;0,000351441
127,826;0,000595505
127,827;0,00070891
127,828;0,000702923
127,829;0,00060347
127,83;0,000443448
127,831;0,000256067
127,832;7,03E-05
127,833;-9,27E-05
127,834;-0,000219882
127,835;-0,000306116
127,836;-0,00035271
127,837;-0,000365625
127,838;-0,000353405
127,839;-0,000325373
127,84;-0,000290227
127,841;-0,000255335
127,842;-0,000225164
127,843;-0,000202477
127,844;-0,000188217
127,845;-0,000181798
127,846;-0,000181776
127,847;-0,000186153
127,848;-0,000192871
127,849;-0,000200167
127,85;-0,000206614
127,851;-0,000211367
127,852;-0,000214108
127,853;-0,000214927
127,854;-0,000214084
127,855;-0,000211977
127,856;-0,000209183
127,857;-0,000206168
127,858;-0,000203264
127,859;-0,000200649
127,86;-0,000198386
127,861;-0,000196456
127,862;-0,0001948
127,863;-0,000193384
127,864;-0,000191928
127,865;-0,000190352
127,866;-0,000188679
127,867;-0,000186941
127,868;-0,000185172
127,869;-0,000183382
127,87;-0,000181583
127,871;-0,000179802
127,872;-0,000178063
127,873;-0,000176261
127,874;-0,000174405
127,875;-0,00017255
127,876;-0,000170749
127,877;-0,000169034
127,878;-0,000167346
127,879;-0,000165659
127,88;-0,000163981
127,881;-0,000162286
127,882;-0,000160474
127,883;-0,000158623
127,884;-0,000156764
127,885;-0,000154912
127,886;-0,000153081
127,887;-0,000151275
127,888;-0,000149495
127,889;-0,000147697
127,89;-0,000145795
127,891;-0,000143933
127,892;-0,000142077
127,893;-0,00014023
127,894;-0,000138411
127,895;-0,000136634
127,896;-0,000134901
127,897;-0,000133066
127,898;-0,000131189
127,899;-0,000129309
127,9;-0,00012744
127,901;-0,000125588
127,902;-0,000123762
127,903;-0,000121926
127,904;-0,000119996
127,905;-0,000118037
127,906;-0,000116139
127,907;-0,000114292
127,908;-0,000112475
127,909;-0,00011066
127,91;-0,00010876
127,911;-0,000106845
127,912;-0,000104954
127,913;-0,000225928
127,914;-0,000172509
127,915;-0,00016194
127,916;-0,000208978
127,917;-0,000255938
127,918;-0,000256662
127,919;-0,000203064
127,92;-0,000116041
127,921;-2,57E-05
127,922;4,36E-05
127,923;7,97E-05
127,924;8,29E-05
