sim_time; tb3_1?world_angular_velocity/y
127.598; -0.000427253
127.599; -0.000379577
127.6; 0.00017424
127.601; 3.4255e-05
127.602; 0.000613583
127.603; 0.000259455
127.604; 0.000800963
127.605; 0.000276986
127.606; 0.000412443
127.607; -0.000141309
127.608; 0.000155029
127.609; -0.000265253
127.61; 0.000163817
127.611; -0.000178708
127.612; 0.000226722
127.613; 0.00033253
127.614; 0.000230595
127.615; 0.000710851
127.616; 0.000824329
127.617; 0.000722931
127.618; 0.000961907
127.619; 0.000856566
127.62; 0.000557254
127.621; 0.000417356
127.622; 0.000355901
127.623; 0.000297176
127.624; 0.000385537
127.625; 0.000498416
127.626; 0.000606657
127.627; 0.000755621
127.628; 0.000860789
127.629; 0.000942167
127.63; 0.00100138
127.631; 0.0010358
127.632; 0.00103381
127.633; 0.000985183
127.634; 0.000886945
127.635; 0.000744463
127.636; 0.000569922
127.637; 0.000377856
127.638; 0.000183484
127.639; -1.80601e-07
127.64; -0.000162655
127.641; -0.000297343
127.642; -0.000400375
127.643; -0.000471264
127.644; -0.00051171
127.645; -0.000524999
127.646; -0.000516011
127.647; -0.000490085
127.648; -0.000452658
127.649; -0.000408708
127.65; -0.000362942
127.651; -0.00031955
127.652; -0.000281652
127.653; -0.000251012
127.654; -0.000228082
127.655; -0.000212494
127.656; -0.000203266
127.657; -0.000199593
127.658; -0.000200681
127.659; -0.000205246
127.66; -0.000211765
127.661; -0.000218717
127.662; -0.000225188
127.663; -0.00023089
127.664; -0.000235301
127.665; -0.000237912
127.666; -0.000238644
127.667; -0.000237603
127.668; -0.000234874
127.669; -0.000231034
127.67; -0.00022667
127.671; -0.000222043
127.672; -0.000217238
127.673; -0.000212481
127.674; -0.000207877
127.675; -0.000203374
127.676; -0.000199203
127.677; -0.000195742
127.678; -0.000193219
127.679; -0.000191786
127.68; -0.000191092
127.681; -0.000191198
127.682; -0.000191959
127.683; -0.000193263
127.684; -0.000195001
127.685; -0.000197042
127.686; -0.000199291
127.687; -0.000201719
127.688; -0.000204204
127.689; -0.000206687
127.69; -0.000209002
127.691; -0.000211076
127.692; -0.000212869
127.693; -0.000215344
127.694; -0.000226868
127.695; -0.000247553
127.696; -0.000270878
127.697; -0.000295185
127.698; -0.000312628
127.699; -0.000326169
127.7; -0.000347647
127.701; -0.000377827
127.702; -0.000411205
127.703; -0.000448768
127.704; -0.000487674
127.705; -0.000512649
127.706; -0.000512494
127.707; -0.0004863
127.708; -0.000449688
127.709; -0.000408168
127.71; -0.000365883
127.711; -0.000327236
127.712; -0.000303127
127.713; -0.00224203
127.714; -0.00258976
127.715; -0.00244021
127.716; -0.00227413
127.717; -0.00220638
127.718; -0.00234269
127.719; -0.00257724
127.72; -0.00281363
127.721; -0.00231643
127.722; -0.00076153
127.723; 0.00116015
127.724; 0.00256812
127.725; 0.00331921
127.726; 0.00343881
127.727; 0.00299648
127.728; 0.00221721
127.729; 0.00106647
127.73; -9.19476e-05
127.731; -0.00109102
127.732; -0.00177285
127.733; -0.00204944
127.734; -0.00193194
127.735; -0.00151372
127.736; -0.000929339
127.737; -0.000318183
127.738; 0.000197793
127.739; 0.000535458
127.74; 0.000666198
127.741; 0.000567701
127.742; 0.000305258
127.743; 2.16873e-05
127.744; -0.000205859
127.745; -0.00033698
127.746; -0.00037285
127.747; -0.000343396
127.748; -0.000282807
127.749; -0.000220239
127.75; -0.000171185
127.751; -0.000139416
127.752; -0.000121572
127.753; -0.000111252
127.754; -0.000101488
127.755; -8.74259e-05
127.756; -6.60826e-05
127.757; -3.68821e-05
127.758; 9.03683e-07
127.759; 4.39188e-05
127.76; 8.93049e-05
127.761; 0.000131604
127.762; 0.000170571
127.763; 0.000207415
127.764; 0.000242313
127.765; 0.000272056
127.766; 0.000285862
127.767; 0.000277967
127.768; 0.000410946
127.769; 0.000178371
127.77; -0.000110507
127.771; -0.000256252
127.772; -0.000256062
127.773; 1.89248e-05
127.774; -0.000114409
127.775; -0.00033458
127.776; -0.000400298
127.777; -0.000283319
127.778; -5.22297e-05
127.779; 0.000263329
127.78; 0.000229346
127.781; 9.0645e-05
127.782; 1.52968e-05
127.783; 3.83856e-05
127.784; 0.000126403
127.785; 0.000229507
127.786; 0.000306895
127.787; 0.000336272
127.788; 0.000312962
127.789; 0.000244583
127.79; 0.000145092
127.791; 2.99038e-05
127.792; -8.80737e-05
127.793; -0.000198278
127.794; -0.000294885
127.795; -0.000374327
127.796; -0.000434762
127.797; -0.00047662
127.798; -0.000499023
127.799; -0.00050381
127.8; -0.000491975
127.801; -0.000465519
127.802; -0.000427047
127.803; -0.000379175
127.804; -0.000325029
127.805; -0.000268544
127.806; -0.000212991
127.807; -0.000160625
127.808; -0.000114586
127.809; -7.67335e-05
127.81; -4.78186e-05
127.811; -2.78767e-05
127.812; -1.74186e-05
127.813; -0.000168993
127.814; 0.000345882
127.815; 0.000606075
127.816; 0.000430312
127.817; -1.31819e-05
127.818; -0.000479787
127.819; -0.000794712
127.82; -0.000892549
127.821; -0.000796733
127.822; -0.000577647
127.823; -0.000315086
127.824; -7.35927e-05
127.825; 0.000107638
127.826; 0.000214856
127.827; 0.000251487
127.828; 0.000231972
127.829; 0.000176019
127.83; 0.000102866
127.831; 2.80186e-05
127.832; -3.80956e-05
127.833; -8.95496e-05
127.834; -0.000124254
127.835; -0.000142826
127.836; -0.000147942
127.837; -0.000143016
127.838; -0.00013159
127.839; -0.000116922
127.84; -0.000101735
127.841; -8.78675e-05
127.842; -7.71247e-05
127.843; -6.99348e-05
127.844; -6.59476e-05
127.845; -6.44329e-05
127.846; -6.44788e-05
127.847; -6.52789e-05
127.848; -6.61516e-05
127.849; -6.64736e-05
127.85; -6.60229e-05
127.851; -6.4748e-05
127.852; -6.27211e-05
127.853; -6.00968e-05
127.854; -5.71117e-05
127.855; -5.39852e-05
127.856; -5.08409e-05
127.857; -4.78111e-05
127.858; -4.49877e-05
127.859; -4.23646e-05
127.86; -3.99212e-05
127.861; -3.76268e-05
127.862; -3.54202e-05
127.863; -3.31634e-05
127.864; -3.09392e-05
127.865; -2.87217e-05
127.866; -2.64724e-05
127.867; -2.41892e-05
127.868; -2.18834e-05
127.869; -1.9533e-05
127.87; -1.7155e-05
127.871; -1.47728e-05
127.872; -1.24064e-05
127.873; -1.01165e-05
127.874; -7.86462e-06
127.875; -5.60597e-06
127.876; -3.28739e-06
127.877; -8.60728e-07
127.878; 1.61933e-06
127.879; 4.12487e-06
127.88; 6.63707e-06
127.881; 9.13036e-06
127.882; 1.1565e-05
127.883; 1.40117e-05
127.884; 1.64751e-05
127.885; 1.89337e-05
127.886; 2.13667e-05
127.887; 2.37973e-05
127.888; 2.62325e-05
127.889; 2.86449e-05
127.89; 3.10038e-05
127.891; 3.35149e-05
127.892; 3.60918e-05
127.893; 3.86698e-05
127.894; 4.12184e-05
127.895; 4.37567e-05
127.896; 4.63062e-05
127.897; 4.87957e-05
127.898; 5.12991e-05
127.899; 5.38315e-05
127.9; 5.63755e-05
127.901; 5.89059e-05
127.902; 6.14058e-05
127.903; 6.38769e-05
127.904; 6.62844e-05
127.905; 6.86919e-05
127.906; 7.12212e-05
127.907; 7.38322e-05
127.908; 7.64458e-05
127.909; 7.90149e-05
127.91; 8.15103e-05
127.911; 8.40102e-05
127.912; 8.65309e-05
127.913; 0.000118771
127.914; -3.77614e-05
127.915; -0.00018689
127.916; -0.000231304
127.917; -0.000170699
127.918; -4.988e-05
127.919; 8.15953e-05
127.92; 0.000189374
127.921; 0.000258225
127.922; 0.000288068
127.923; 0.000287619
127.924; 0.000267987
127.925; 0.000239576
127.926; 0.000209962
127.927; 0.000183879
127.928; 0.000163519
127.929; 0.000149025
127.93; 0.000139359
127.931; 0.000133103
127.932; 0.00012887
127.933; 0.000125576
127.934; 0.000122031
127.935; 0.000118132
127.936; 0.000114259
127.937; 0.000110368
127.938; 0.000106459
127.939; 0.000102347
127.94; 9.83212e-05
127.941; 9.48634e-05
127.942; 9.18412e-05
127.943; 8.87193e-05
127.944; 8.57945e-05
127.945; 8.29869e-05
127.946; 8.02041e-05
127.947; 7.74084e-05
127.948; 7.46589e-05
127.949; 7.16729e-05
127.95; 6.87966e-05
127.951; 6.61732e-05
127.952; 6.37512e-05
127.953; 6.15134e-05
127.954; 5.94209e-05
127.955; 5.73992e-05
127.956; 5.53123e-05
127.957; 5.34465e-05
127.958; 5.18621e-05
127.959; 5.05543e-05
127.96; 4.95978e-05
127.961; 4.92262e-05
127.962; 4.99402e-05
127.963; 5.30719e-05
127.964; 5.79027e-05
127.965; 6.34074e-05
127.966; 6.8802e-05
127.967; 7.42084e-05
127.968; 8.00382e-05
127.969; 8.71511e-05
127.97; 9.61243e-05
127.971; 9.76984e-05
127.972; 9.29794e-05
127.973; 8.77099e-05
127.974; 8.5819e-05
127.975; 9.20426e-05
127.976; 0.000266094
127.977; 0.000288832
127.978; 0.00023834
127.979; 0.000463105
127.98; 0.000435746
127.981; 0.000299835
127.982; 0.000499236
127.983; 0.000421749
127.984; 0.000238729
127.985; 0.000606723
127.986; 0.000542006
127.987; 0.000301538
127.988; 0.000394979
127.989; 0.000249197
127.99; 0.000359515
127.991; 0.000224096
127.992; 0.000167717
127.993; 0.000167459
127.994; 5.30236e-05
127.995; -2.47178e-05
127.996; -0.000150797
127.997; -0.000204153
127.998; -0.000299917
127.999; -0.000324701
128; -0.00039587
128.001; -0.000406109
128.002; -0.000458522
128.003; -0.000464492
128.004; -0.000500758
128.005; -0.000508882
128.006; -0.0005346
128.007; -0.000544438
128.008; -0.000561451
128.009; -0.000566071
128.01; -0.000562191
128.011; -0.000547737
128.012; -0.000530934
128.013; -0.000599473
128.014; -0.000661475
128.015; -0.000691587
128.016; -0.000647336
128.017; -0.000481803
128.018; -0.000266929
128.019; -6.90659e-05
128.02; 7.57312e-05
128.021; 1.13068e-05
128.022; 0.000246985
128.023; 0.000749759
128.024; 0.00080607
128.025; 0.000714805
128.026; 0.000593553
128.027; 0.000498706
128.028; 0.000447318
128.029; 0.000436479
128.03; 0.000417988
128.031; 0.000387733
128.032; 0.000351347
128.033; 0.000317577
128.034; 0.000290265
128.035; 0.000269342
128.036; 0.000255164
128.037; 0.000249792
128.038; 0.000252207
128.039; 0.000260259
128.04; 0.000274898
128.041; 0.000295523
128.042; 0.000318309
128.043; 0.000343473
128.044; 0.000370705
128.045; 0.000396568
128.046; 0.000421899
128.047; 0.00044666
128.048; 0.000470249
128.049; 0.000374439
128.05; 0.000351075
128.051; 0.000357878
128.052; 0.000379431
128.053; 0.000273536
128.054; 0.000243051
128.055; 0.000241835
128.056; 0.000252902
128.057; 0.000262722
128.058; 0.000262413
128.059; 0.000249188
128.06; 0.000224268
128.061; 0.00019061
128.062; 0.000148459
128.063; 9.92433e-05
128.064; 4.47141e-05
128.065; -1.26694e-05
128.066; -7.2155e-05
128.067; -0.000131469
128.068; -0.000189427
128.069; -0.000243875
128.07; -0.000291646
128.071; -0.000332006
128.072; -0.000362708
128.073; -0.000384337
128.074; -0.000395993
128.075; -0.000398216
128.076; -0.00039177
128.077; -0.000377468
128.078; -0.000355893
128.079; -0.000329448
128.08; -0.000299254
128.081; -0.000266353
128.082; -0.000231667
128.083; -0.000195962
128.084; -0.000163224
128.085; -0.000133676
128.086; -0.000108111
128.087; -8.76301e-05
128.088; -7.15681e-05
128.089; -6.00114e-05
128.09; -5.46212e-05
128.091; -5.45864e-05
128.092; -5.80308e-05
128.093; -6.38919e-05
128.094; -7.19604e-05
128.095; -8.18595e-05
128.096; -9.30411e-05
128.097; -0.000104832
128.098; -0.000116011
128.099; -0.00012634
128.1; -0.000135484
128.101; -0.000143169
128.102; -0.000148781
128.103; -0.000152704
128.104; -0.000155164
128.105; -0.000156237
128.106; -0.000155907
128.107; -0.000154695
128.108; -0.000152919
128.109; -0.00015055
128.11; -0.000147814
128.111; -0.000145066
128.112; -0.000142423
128.113; 0.00105342
128.114; 0.000511108
128.115; -0.000330401
128.116; -0.000858446
128.117; -0.00102079
128.118; -0.000876572
128.119; -0.000622803
128.12; -0.00038202
128.121; -0.000180886
128.122; -3.27989e-05
128.123; 5.06741e-05
128.124; 7.03804e-05
128.125; 4.19172e-05
128.126; -1.10235e-05
128.127; -6.63425e-05
128.128; -0.000108074
128.129; -0.000129785
128.13; -0.000132571
128.131; -0.000121937
128.132; -0.00010464
128.133; -8.73817e-05
128.134; -7.45401e-05
128.135; -6.86961e-05
128.136; -7.02107e-05
128.137; -7.78991e-05
