sim_time; tb3_1?world_linear_velocity/x
127,598;0,0336631
127,599;0,0336581
127,6;0,0336808
127,601;0,0336972
127,602;0,0337246
127,603;0,0337609
127,604;0,0337945
127,605;0,0338459
127,606;0,0339041
127,607;0,0339519
127,608;0,0340059
127,609;0,0340529
127,61;0,0341057
127,611;0,034154
127,612;0,0342149
127,613;0,0342318
127,614;0,0343136
127,615;0,0343902
127,616;0,0344068
127,617;0,0344839
127,618;0,034562
127,619;0,0345712
127,62;0,0346367
127,621;0,0347196
127,622;0,0347401
127,623;0,0347946
127,624;0,0348629
127,625;0,0349006
127,626;0,0349587
127,627;0,0350264
127,628;0,0350817
127,629;0,0351422
127,63;0,0352037
127,631;0,0352625
127,632;0,0353157
127,633;0,0353614
127,634;0,0353978
127,635;0,0354238
127,636;0,0354387
127,637;0,0354425
127,638;0,0354355
127,639;0,0354188
127,64;0,0353939
127,641;0,0353623
127,642;0,0353259
127,643;0,0352864
127,644;0,0352455
127,645;0,0352045
127,646;0,0351645
127,647;0,0351263
127,648;0,0350905
127,649;0,0350572
127,65;0,0350265
127,651;0,0349982
127,652;0,0349723
127,653;0,0349482
127,654;0,0349257
127,655;0,0349041
127,656;0,0348831
127,657;0,0348623
127,658;0,0348416
127,659;0,0348206
127,66;0,0347994
127,661;0,0347776
127,662;0,0347554
127,663;0,0347327
127,664;0,0347096
127,665;0,0346861
127,666;0,0346622
127,667;0,034638
127,668;0,0346136
127,669;0,0345889
127,67;0,0345641
127,671;0,0345392
127,672;0,0345141
127,673;0,0344889
127,674;0,0344636
127,675;0,034438
127,676;0,0344121
127,677;0,034386
127,678;0,0343597
127,679;0,0343332
127,68;0,0343064
127,681;0,0342793
127,682;0,0342519
127,683;0,0342242
127,684;0,0341963
127,685;0,0341681
127,686;0,0341396
127,687;0,0341109
127,688;0,034082
127,689;0,0340528
127,69;0,0340233
127,691;0,0339937
127,692;0,0339637
127,693;0,0339337
127,694;0,0339051
127,695;0,0338752
127,696;0,0338474
127,697;0,0338167
127,698;0,0337875
127,699;0,033755
127,7;0,0337255
127,701;0,0336916
127,702;0,0336599
127,703;0,0336238
127,704;0,0335918
127,705;0,0335541
127,706;0,0335189
127,707;0,0334789
127,708;0,0334439
127,709;0,0334038
127,71;0,0333672
127,711;0,0333268
127,712;0,0332914
127,713;0,0335757
127,714;0,0337938
127,715;0,0339985
127,716;0,034214
127,717;0,0344398
127,718;0,0346765
127,719;0,0349171
127,72;0,0351567
127,721;0,0352949
127,722;0,035392
127,723;0,0354492
127,724;0,0354902
127,725;0,0355223
127,726;0,0355542
127,727;0,0355748
127,728;0,0355908
127,729;0,0355914
127,73;0,0355768
127,731;0,0355443
127,732;0,0354941
127,733;0,0354281
127,734;0,035351
127,735;0,0352692
127,736;0,0351889
127,737;0,0351151
127,738;0,0350511
127,739;0,0349982
127,74;0,0349554
127,741;0,0349211
127,742;0,0348908
127,743;0,0348594
127,744;0,0348259
127,745;0,0347908
127,746;0,0347558
127,747;0,0347229
127,748;0,0346936
127,749;0,0346687
127,75;0,0346481
127,751;0,0346312
127,752;0,0346171
127,753;0,0346048
127,754;0,0345931
127,755;0,0345811
127,756;0,0345675
127,757;0,0345512
127,758;0,03453
127,759;0,0345036
127,76;0,0344727
127,761;0,0344356
127,762;0,0343907
127,763;0,0343367
127,764;0,0342723
127,765;0,0341964
127,766;0,0341086
127,767;0,0340084
127,768;0,0339461
127,769;0,0338821
127,77;0,033803
127,771;0,0337027
127,772;0,0335827
127,773;0,0335195
127,774;0,0334551
127,775;0,0333761
127,776;0,0332753
127,777;0,033154
127,778;0,033017
127,779;0,0329233
127,78;0,0328288
127,781;0,0327249
127,782;0,032608
127,783;0,0324797
127,784;0,0323445
127,785;0,0322071
127,786;0,0320716
127,787;0,0319412
127,788;0,0318182
127,789;0,0317044
127,79;0,0316009
127,791;0,0315084
127,792;0,0314271
127,793;0,0313568
127,794;0,031297
127,795;0,0312466
127,796;0,0312043
127,797;0,0311684
127,798;0,0311368
127,799;0,0311077
127,8;0,0310791
127,801;0,0310492
127,802;0,0310165
127,803;0,0309797
127,804;0,0309381
127,805;0,0308911
127,806;0,0308387
127,807;0,0307811
127,808;0,030719
127,809;0,0306531
127,81;0,0305845
127,811;0,0305139
127,812;0,0304424
127,813;0,0303217
127,814;0,0302276
127,815;0,0301832
127,816;0,0301764
127,817;0,0301861
127,818;0,0301932
127,819;0,0301852
127,82;0,0301564
127,821;0,0301069
127,822;0,0300399
127,823;0,0299602
127,824;0,0298728
127,825;0,0297823
127,826;0,0296921
127,827;0,0296047
127,828;0,0295217
127,829;0,0294437
127,83;0,0293707
127,831;0,029302
127,832;0,0292365
127,833;0,0291732
127,834;0,029111
127,835;0,0290485
127,836;0,0289851
127,837;0,0289204
127,838;0,0288541
127,839;0,0287863
127,84;0,0287172
127,841;0,0286468
127,842;0,0285756
127,843;0,0285039
127,844;0,0284318
127,845;0,0283596
127,846;0,0282875
127,847;0,0282154
127,848;0,0281434
127,849;0,0280714
127,85;0,0279993
127,851;0,0279272
127,852;0,027855
127,853;0,0277826
127,854;0,02771
127,855;0,0276372
127,856;0,0275642
127,857;0,027491
127,858;0,0274176
127,859;0,027344
127,86;0,0272701
127,861;0,0271961
127,862;0,0271218
127,863;0,0270472
127,864;0,0269725
127,865;0,0268975
127,866;0,0268223
127,867;0,0267469
127,868;0,0266712
127,869;0,0265953
127,87;0,0265192
127,871;0,0264429
127,872;0,0263664
127,873;0,0262897
127,874;0,0262128
127,875;0,0261356
127,876;0,0260583
127,877;0,0259808
127,878;0,025903
127,879;0,0258251
127,88;0,0257469
127,881;0,0256686
127,882;0,02559
127,883;0,0255113
127,884;0,0254323
127,885;0,0253532
127,886;0,0252738
127,887;0,0251943
127,888;0,0251145
127,889;0,0250346
127,89;0,0249545
127,891;0,0248741
127,892;0,0247936
127,893;0,0247128
127,894;0,0246319
127,895;0,0245508
127,896;0,0244694
127,897;0,0243879
127,898;0,0243062
127,899;0,0242243
127,9;0,0241422
127,901;0,0240599
127,902;0,0239774
127,903;0,0238947
127,904;0,0238118
127,905;0,0237287
127,906;0,0236455
127,907;0,023562
127,908;0,0234784
127,909;0,0233945
127,91;0,0233105
127,911;0,0232262
127,912;0,0231418
127,913;0,0230839
127,914;0,0230319
127,915;0,022977
127,916;0,0229149
127,917;0,022845
127,918;0,0227688
127,919;0,0226886
127,92;0,0226058
127,921;0,0225218
127,922;0,0224369
127,923;0,0223514
127,924;0,0222652
127,925;0,0221782
127,926;0,0220904
127,927;0,0220017
127,928;0,0219121
127,929;0,0218218
127,93;0,0217309
127,931;0,0216397
127,932;0,0215484
127,933;0,021457
127,934;0,0213657
127,935;0,0212744
127,936;0,0211831
127,937;0,0210919
127,938;0,0210007
127,939;0,0209095
127,94;0,0208182
127,941;0,0207268
127,942;0,0206353
127,943;0,0205436
