sim_time, tb3_1?world_pose/position/x
127.598, -0.810416
127.599, -0.810382
127.6, -0.810349
127.601, -0.810315
127.602, -0.810281
127.603, -0.810247
127.604, -0.810214
127.605, -0.81018
127.606, -0.810146
127.607, -0.810112
127.608, -0.810078
127.609, -0.810044
127.61, -0.81001
127.611, -0.809975
127.612, -0.809941
127.613, -0.809907
127.614, -0.809873
127.615, -0.809838
127.616, -0.809804
127.617, -0.809769
127.618, -0.809735
127.619, -0.8097
127.62, -0.809666
127.621, -0.809631
127.622, -0.809596
127.623, -0.809561
127.624, -0.809526
127.625, -0.809491
127.626, -0.809456
127.627, -0.809421
127.628, -0.809386
127.629, -0.809351
127.63, -0.809316
127.631, -0.809281
127.632, -0.809245
127.633, -0.80921
127.634, -0.809175
127.635, -0.809139
127.636, -0.809104
127.637, -0.809068
127.638, -0.809033
127.639, -0.808997
127.64, -0.808962
127.641, -0.808927
127.642, -0.808891
127.643, -0.808856
127.644, -0.808821
127.645, -0.808785
127.646, -0.80875
127.647, -0.808715
127.648, -0.80868
127.649, -0.808645
127.65, -0.80861
127.651, -0.808575
127.652, -0.80854
127.653, -0.808505
127.654, -0.80847
127.655, -0.808435
127.656, -0.8084
127.657, -0.808365
127.658, -0.80833
127.659, -0.808296
127.66, -0.808261
127.661, -0.808226
127.662, -0.808191
127.663, -0.808156
127.664, -0.808122
127.665, -0.808087
127.666, -0.808052
127.667, -0.808018
127.668, -0.807983
127.669, -0.807948
127.67, -0.807914
127.671, -0.807879
127.672, -0.807845
127.673, -0.80781
127.674, -0.807776
127.675, -0.807741
127.676, -0.807707
127.677, -0.807673
127.678, -0.807638
127.679, -0.807604
127.68, -0.80757
127.681, -0.807535
127.682, -0.807501
127.683, -0.807467
127.684, -0.807433
127.685, -0.807398
127.686, -0.807364
127.687, -0.80733
127.688, -0.807296
127.689, -0.807262
127.69, -0.807228
127.691, -0.807194
127.692, -0.80716
127.693, -0.807126
127.694, -0.807092
127.695, -0.807058
127.696, -0.807024
127.697, -0.80699
127.698, -0.806957
127.699, -0.806923
127.7, -0.806889
127.701, -0.806855
127.702, -0.806822
127.703, -0.806788
127.704, -0.806755
127.705, -0.806721
127.706, -0.806687
127.707, -0.806654
127.708, -0.80662
127.709, -0.806587
127.71, -0.806554
127.711, -0.80652
127.712, -0.806487
127.713, -0.806453
127.714, -0.80642
127.715, -0.806386
127.716, -0.806351
127.717, -0.806317
127.718, -0.806282
