sim_time, tb3_1?world_pose/position/y
127.598, 0.0877511
127.599, 0.0877469
127.6, 0.0877426
127.601, 0.0877382
127.602, 0.0877336
127.603, 0.087729
127.604, 0.0877243
127.605, 0.0877195
127.606, 0.0877146
127.607, 0.0877097
127.608, 0.0877046
127.609, 0.0876994
127.61, 0.0876941
127.611, 0.0876888
127.612, 0.0876833
127.613, 0.0876778
127.614, 0.0876721
127.615, 0.0876663
127.616, 0.0876604
127.617, 0.0876545
127.618, 0.0876484
127.619, 0.0876422
127.62, 0.0876359
127.621, 0.0876295
127.622, 0.0876231
127.623, 0.0876165
127.624, 0.0876098
127.625, 0.087603
127.626, 0.087596
127.627, 0.087589
127.628, 0.0875818
127.629, 0.0875745
127.63, 0.0875671
127.631, 0.0875596
127.632, 0.087552
127.633, 0.0875443
127.634, 0.0875365
127.635, 0.0875286
127.636, 0.0875206
127.637, 0.0875126
127.638, 0.0875044
127.639, 0.0874962
127.64, 0.0874879
127.641, 0.0874795
127.642, 0.087471
127.643, 0.0874625
127.644, 0.0874539
127.645, 0.0874451
127.646, 0.0874363
127.647, 0.0874274
127.648, 0.0874184
127.649, 0.0874094
127.65, 0.0874002
127.651, 0.0873909
127.652, 0.0873815
127.653, 0.087372
127.654, 0.0873625
127.655, 0.0873528
127.656, 0.0873431
127.657, 0.0873332
127.658, 0.0873233
127.659, 0.0873133
127.66, 0.0873032
127.661, 0.087293
127.662, 0.0872827
127.663, 0.0872723
127.664, 0.0872619
127.665, 0.0872513
127.666, 0.0872407
127.667, 0.08723
127.668, 0.0872192
127.669, 0.0872083
127.67, 0.0871973
127.671, 0.0871862
127.672, 0.087175
127.673, 0.0871638
127.674, 0.0871524
127.675, 0.087141
127.676, 0.0871295
127.677, 0.0871178
127.678, 0.0871061
127.679, 0.0870943
127.68, 0.0870825
127.681, 0.0870705
127.682, 0.0870584
127.683, 0.0870463
127.684, 0.087034
127.685, 0.0870217
127.686, 0.0870093
127.687, 0.0869968
127.688, 0.0869841
127.689, 0.0869715
127.69, 0.0869587
127.691, 0.0869458
127.692, 0.0869329
127.693, 0.0869198
127.694, 0.0869067
127.695, 0.0868935
127.696, 0.0868802
127.697, 0.0868668
127.698, 0.0868534
127.699, 0.0868398
127.7, 0.0868262
127.701, 0.0868126
127.702, 0.0867988
127.703, 0.086785
127.704, 0.0867711
127.705, 0.0867571
127.706, 0.0867431
127.707, 0.0867289
127.708, 0.0867147
127.709, 0.0867004
127.71, 0.086686
127.711, 0.0866716
127.712, 0.086657
127.713, 0.0866423
127.714, 0.0866273
127.715, 0.0866121
127.716, 0.0865966
127.717, 0.0865809
127.718, 0.0865649
127.719, 0.0865487
127.72, 0.0865324
127.721, 0.0865158
127.722, 0.0864991
127.723, 0.0864821
127.724, 0.0864651
127.725, 0.0864479
127.726, 0.0864306
127.727, 0.0864133
127.728, 0.0863959
127.729, 0.0863784
127.73, 0.086361
127.731, 0.0863434
127.732, 0.0863258
127.733, 0.0863081
127.734, 0.0862904
127.735, 0.0862725
127.736, 0.0862545
127.737, 0.0862365
127.738, 0.0862183
127.739, 0.0862
127.74, 0.0861816
127.741, 0.0861631
127.742, 0.0861445
127.743, 0.0861258
127.744, 0.0861069
127.745, 0.0860879
127.746, 0.0860688
127.747, 0.0860496
127.748, 0.0860302
127.749, 0.0860107
127.75, 0.0859911
127.751, 0.0859714
127.752, 0.0859516
127.753, 0.0859316
127.754, 0.0859115
127.755, 0.0858913
127.756, 0.085871
127.757, 0.0858506
127.758, 0.0858301
127.759, 0.0858094
127.76, 0.0857886
127.761, 0.0857678
127.762, 0.0857468
127.763, 0.0857258
127.764, 0.0857047
127.765, 0.0856835
127.766, 0.0856622
127.767, 0.0856409
127.768, 0.0856195
127.769, 0.085598
127.77, 0.0855764
127.771, 0.0855549
127.772, 0.0855332
127.773, 0.0855115
127.774, 0.0854897
127.775, 0.0854678
127.776, 0.0854459
127.777, 0.085424
127.778, 0.085402
127.779, 0.0853799
127.78, 0.0853578
127.781, 0.0853356
127.782, 0.0853134
127.783, 0.0852911
127.784, 0.0852688
127.785, 0.0852464
127.786, 0.085224
127.787, 0.0852016
127.788, 0.0851791
127.789, 0.0851566
127.79, 0.0851341
127.791, 0.0851114
127.792, 0.0850888
127.793, 0.085066
127.794, 0.0850432
127.795, 0.0850203
127.796, 0.0849974
127.797, 0.0849743
127.798, 0.0849512
127.799, 0.0849279
127.8, 0.0849045
127.801, 0.0848811
127.802, 0.0848575
127.803, 0.0848338
127.804, 0.0848101
127.805, 0.0847862
127.806, 0.0847622
127.807, 0.0847381
127.808, 0.0847139
127.809, 0.0846897
127.81, 0.0846653
127.811, 0.0846409
127.812, 0.0846164
127.813, 0.0845918
127.814, 0.0845673
127.815, 0.0845426
127.816, 0.0845178
127.817, 0.0844929
127.818, 0.0844678
127.819, 0.0844426
127.82, 0.0844174
127.821, 0.084392
127.822, 0.0843665
127.823, 0.0843409
127.824, 0.0843152
127.825, 0.0842894
127.826, 0.0842636
127.827, 0.0842377
127.828, 0.0842117
127.829, 0.0841857
127.83, 0.0841596
127.831, 0.0841334
127.832, 0.0841071
127.833, 0.0840808
127.834, 0.0840544
127.835, 0.084028
127.836, 0.0840014
127.837, 0.0839748
127.838, 0.0839481
127.839, 0.0839213
127.84, 0.0838945
127.841, 0.0838676
127.842, 0.0838406
127.843, 0.0838135
127.844, 0.0837863
127.845, 0.0837591
127.846, 0.0837318
127.847, 0.0837044
127.848, 0.0836769
127.849, 0.0836494
127.85, 0.0836218
127.851, 0.0835941
127.852, 0.0835663
127.853, 0.0835385
127.854, 0.0835106
127.855, 0.0834826
127.856, 0.0834546
127.857, 0.0834264
127.858, 0.0833982
127.859, 0.08337
127.86, 0.0833416
127.861, 0.0833132
127.862, 0.0832847
127.863, 0.0832562
127.864, 0.0832275
127.865, 0.0831988
127.866, 0.08317
127.867, 0.0831412
127.868, 0.0831123
127.869, 0.0830833
127.87, 0.0830542
127.871, 0.0830251
127.872, 0.0829959
127.873, 0.0829666
127.874, 0.0829373
127.875, 0.0829079
127.876, 0.0828784
127.877, 0.0828489
127.878, 0.0828193
127.879, 0.0827896
127.88, 0.0827598
127.881, 0.08273
127.882, 0.0827001
127.883, 0.0826702
127.884, 0.0826402
127.885, 0.0826101
127.886, 0.0825799
127.887, 0.0825497
127.888, 0.0825194
127.889, 0.0824891
127.89, 0.0824587
127.891, 0.0824282
127.892, 0.0823976
127.893, 0.082367
127.894, 0.0823363
127.895, 0.0823056
127.896, 0.0822748
127.897, 0.0822439
127.898, 0.082213
127.899, 0.082182
127.9, 0.0821509
127.901, 0.0821198
127.902, 0.0820886
127.903, 0.0820574
127.904, 0.0820261
127.905, 0.0819947
127.906, 0.0819633
127.907, 0.0819318
127.908, 0.0819002
127.909, 0.0818686
127.91, 0.0818369
127.911, 0.0818052
127.912, 0.0817734
127.913, 0.0817415
127.914, 0.0817094
127.915, 0.0816773
127.916, 0.0816451
127.917, 0.0816128
127.918, 0.0815805
127.919, 0.081548
127.92, 0.0815155
127.921, 0.081483
127.922, 0.0814504
127.923, 0.0814177
127.924, 0.081385
127.925, 0.0813522
127.926, 0.0813194
127.927, 0.0812865
127.928, 0.0812536
127.929, 0.0812206
127.93, 0.0811875
127.931, 0.0811544
127.932, 0.0811213
127.933, 0.0810881
127.934, 0.0810548
127.935, 0.0810215
127.936, 0.0809882
127.937, 0.0809547
127.938, 0.0809213
127.939, 0.0808878
127.94, 0.0808542
127.941, 0.0808206
127.942, 0.0807869
127.943, 0.0807532
127.944, 0.0807194
127.945, 0.0806856
127.946, 0.0806518
127.947, 0.0806179
127.948, 0.0805839
127.949, 0.0805499
127.95, 0.0805159
127.951, 0.0804818
127.952, 0.0804476
127.953, 0.0804134
127.954, 0.0803792
127.955, 0.0803449
127.956, 0.0803106
127.957, 0.0802763
127.958, 0.0802419
127.959, 0.0802074
127.96, 0.0801729
127.961, 0.0801384
