sim_time, car1?world_angular_velocity/x
48.001, -0.00310893
48.002, -0.0030884
48.003, -0.0031001
48.004, -0.003085
48.005, -0.00309957
48.006, -0.00308915
48.007, -0.0031089
48.008, -0.0031161
48.009, -0.00311886
48.01, -0.00314158
48.011, -0.00314669
48.012, -0.00317173
48.013, -0.00317706
48.014, -0.0032031
48.015, -0.00321909
48.016, -0.00322338
48.017, -0.00324742
48.018, -0.00325044
48.019, -0.00327205
48.02, -0.00327332
48.021, -0.0032921
48.022, -0.00330271
48.023, -0.00329679
48.024, -0.00331471
48.025, -0.0033055
48.026, -0.00332081
48.027, -0.00330844
48.028, -0.00332135
48.029, -0.00331779
48.03, -0.00330678
48.031, -0.00331063
48.032, -0.00329759
48.033, -0.00329939
48.034, -0.00328467
48.035, -0.00328504
48.036, -0.00328079
48.037, -0.00325836
48.038, -0.00326322
48.039, -0.00324011
48.04, -0.00324453
48.041, -0.00323294
48.042, -0.00323344
48.043, -0.00317819
48.044, -0.00307163
48.045, -0.00292892
48.046, -0.00280349
48.047, -0.00264913
48.048, -0.00253424
48.049, -0.00235877
48.05, -0.0022587
48.051, -0.00208925
48.052, -0.00199741
48.053, -0.00184929
48.054, -0.00174607
48.055, -0.0016199
48.056, -0.00152808
48.057, -0.00141569
48.058, -0.00133595
48.059, -0.00123856
48.06, -0.00118287
48.061, -0.00107949
48.062, -0.00104611
48.063, -0.000958521
48.064, -0.000937469
48.065, -0.000877447
48.066, -0.000846992
48.067, -0.000812535
48.068, -0.000793705
48.069, -0.000774639
48.07, -0.00076689
48.071, -0.000762811
48.072, -0.000777076
48.073, -0.000765851
48.074, -0.000799514
48.075, -0.000801723
48.076, -0.000916851
48.077, -0.000737284
48.078, -0.000460791
48.079, -0.000159629
48.08, 0.000155246
48.081, 0.000423674
48.082, 0.000706726
48.083, 0.000943255
48.084, 0.00119113
48.085, 0.0013919
48.086, 0.00159072
48.087, 0.00177551
48.088, 0.00192669
48.089, 0.00207449
48.09, 0.00218877
48.091, 0.00230079
48.092, 0.00237953
48.093, 0.00244647
48.094, 0.0025137
48.095, 0.00254042
48.096, 0.00257807
48.097, 0.00257742
48.098, 0.0025887
48.099, 0.00256377
48.1, 0.00255194
48.101, 0.00250582
48.102, 0.00246262
48.103, 0.00241952
48.104, 0.00234987
48.105, 0.00229176
48.106, 0.00220821
48.107, 0.00217938
48.108, 0.00196746
48.109, 0.00169219
48.11, 0.00138005
48.111, 0.00108427
48.112, 0.000799779
