sim_time, car1?world_linear_velocity/x
48.001, -13.2388
48.002, -13.2356
48.003, -13.2387
48.004, -13.2355
48.005, -13.2386
48.006, -13.2354
48.007, -13.2386
48.008, -13.2386
48.009, -13.2353
48.01, -13.2386
48.011, -13.2352
48.012, -13.2385
48.013, -13.235
48.014, -13.2384
48.015, -13.2384
48.016, -13.235
48.017, -13.2383
48.018, -13.2349
48.019, -13.2382
48.02, -13.2347
48.021, -13.2382
48.022, -13.2382
48.023, -13.2345
48.024, -13.2381
48.025, -13.2344
48.026, -13.238
48.027, -13.2343
48.028, -13.238
48.029, -13.2379
48.03, -13.2342
48.031, -13.2378
48.032, -13.234
48.033, -13.2377
48.034, -13.2339
48.035, -13.2377
48.036, -13.2377
48.037, -13.2337
48.038, -13.2376
48.039, -13.2336
48.04, -13.2375
48.041, -13.2375
48.042, -13.2335
48.043, -13.2374
48.044, -13.2334
48.045, -13.2373
48.046, -13.2333
48.047, -13.2373
48.048, -13.2374
48.049, -13.2332
48.05, -13.2374
48.051, -13.2331
48.052, -13.2373
48.053, -13.2373
48.054, -13.2331
48.055, -13.2373
48.056, -13.233
48.057, -13.2372
48.058, -13.2329
48.059, -13.2372
48.06, -13.2373
48.061, -13.2329
48.062, -13.2373
48.063, -13.2328
48.064, -13.2373
48.065, -13.2373
48.066, -13.2328
48.067, -13.2372
48.068, -13.2327
48.069, -13.2372
48.07, -13.2326
48.071, -13.2372
48.072, -13.2373
48.073, -13.2325
48.074, -13.2372
48.075, -13.2324
48.076, -13.2373
48.077, -13.2324
48.078, -13.2371
48.079, -13.2372
48.08, -13.2324
48.081, -13.2372
48.082, -13.2323
48.083, -13.2371
48.084, -13.2322
48.085, -13.2371
48.086, -13.2372
48.087, -13.2323
48.088, -13.2371
48.089, -13.2322
48.09, -13.2371
48.091, -13.2321
48.092, -13.2371
48.093, -13.2372
48.094, -13.2321
48.095, -13.2371
48.096, -13.2321
48.097, -13.2371
48.098, -13.232
48.099, -13.2371
48.1, -13.232
48.101, -13.2371
48.102, -13.2372
48.103, -13.2321
48.104, -13.2371
48.105, -13.232
48.106, -13.2371
48.107, -13.2319
48.108, -13.2372
48.109, -13.232
48.11, -13.2372
48.111, -13.2319
48.112, -13.2372
48.113, -13.2372
48.114, -13.232
48.115, -13.2372
48.116, -13.2319
48.117, -13.2371
48.118, -13.2318
48.119, -13.2371
48.12, -13.2318
48.121, -13.237
48.122, -13.2317
48.123, -13.2369
48.124, -13.2316
48.125, -13.2369
48.126, -13.2315
48.127, -13.2368
48.128, -13.2314
48.129, -13.2368
48.13, -13.2368
48.131, -13.2314
48.132, -13.2367
48.133, -13.2312
48.134, -13.2366
48.135, -13.2311
48.136, -13.2365
48.137, -13.231
48.138, -13.2364
48.139, -13.2309
48.14, -13.2363
48.141, -13.2308
48.142, -13.236
48.143, -13.2363
48.144, -13.2307
48.145, -13.236
48.146, -13.2304
48.147, -13.2358
48.148, -13.2301
48.149, -13.2356
48.15, -13.2298
48.151, -13.2352
48.152, -13.2352
48.153, -13.2293
48.154, -13.2349
48.155, -13.229
48.156, -13.2346
48.157, -13.2287
48.158, -13.2343
48.159, -13.2284
48.16, -13.234
48.161, -13.228
48.162, -13.2338
48.163, -13.2336
48.164, -13.2278
48.165, -13.2333
48.166, -13.2274
48.167, -13.233
48.168, -13.2271
48.169, -13.2327
48.17, -13.2268
48.171, -13.2326
48.172, -13.2328
48.173, -13.2266
48.174, -13.2325
48.175, -13.2268
48.176, -13.2325
48.177, -13.2262
48.178, -13.232
48.179, -13.2259
48.18, -13.2318
48.181, -13.2318
48.182, -13.2254
48.183, -13.2314
48.184, -13.2251
48.185, -13.2312
48.186, -13.2247
48.187, -13.2311
48.188, -13.2311
48.189, -13.2247
48.19, -13.2309
48.191, -13.2245
48.192, -13.2309
48.193, -13.2309
48.194, -13.2243
48.195, -13.2308
48.196, -13.2242
48.197, -13.2307
48.198, -13.2241
48.199, -13.2306
48.2, -13.2306
48.201, -13.224
48.202, -13.2305
48.203, -13.2239
48.204, -13.2304
48.205, -13.2238
48.206, -13.2303
48.207, -13.2304
48.208, -13.2239
48.209, -13.2303
48.21, -13.2237
48.211, -13.2303
48.212, -13.2236
48.213, -13.2303
48.214, -13.2303
48.215, -13.2236
48.216, -13.2303
48.217, -13.2236
48.218, -13.2302
48.219, -13.2235
48.22, -13.2302
48.221, -13.2303
48.222, -13.2234
48.223, -13.2302
48.224, -13.2233
48.225, -13.2301
48.226, -13.2232
48.227, -13.2301
48.228, -13.2231
48.229, -13.2301
48.23, -13.2302
48.231, -13.2231
48.232, -13.2301
48.233, -13.2231
48.234, -13.23
48.235, -13.223
48.236, -13.23
48.237, -13.2229
48.238, -13.23
48.239, -13.2301
48.24, -13.2229
48.241, -13.23
48.242, -13.2228
48.243, -13.2299
48.244, -13.2227
48.245, -13.2299
48.246, -13.2227
48.247, -13.2298
48.248, -13.2226
48.249, -13.2298
48.25, -13.2299
48.251, -13.2227
48.252, -13.2298
48.253, -13.2226
48.254, -13.2298
48.255, -13.2225
48.256, -13.2297
48.257, -13.2224
48.258, -13.2297
48.259, -13.2224
48.26, -13.2296
48.261, -13.2297
48.262, -13.2223
48.263, -13.2296
48.264, -13.2222
48.265, -13.2295
48.266, -13.2222
48.267, -13.2294
48.268, -13.2221
48.269, -13.2294
48.27, -13.222
48.271, -13.2293
48.272, -13.2219
48.273, -13.2293
48.274, -13.2294
48.275, -13.2262
48.276, -13.2365
48.277, -13.2307
48.278, -13.2382
48.279, -13.2307
48.28, -13.2378
48.281, -13.23
48.282, -13.2371
48.283, -13.2288
48.284, -13.2363
48.285, -13.2363
48.286, -13.2285
48.287, -13.2365
48.288, -13.2285
48.289, -13.2364
48.29, -13.2283
48.291, -13.236
48.292, -13.2277
48.293, -13.2355
48.294, -13.2269
48.295, -13.2347
48.296, -13.2258
48.297, -13.2337
48.298, -13.2244
48.299, -13.2325
48.3, -13.223
48.301, -13.2314
48.302, -13.222
48.303, -13.2308
48.304, -13.2215
48.305, -13.2303
48.306, -13.2206
48.307, -13.2293
48.308, -13.2191
48.309, -13.2282
48.31, -13.2186
48.311, -13.2271
48.312, -13.2175
48.313, -13.2259
48.314, -13.2164
48.315, -13.2246
48.316, -13.2153
48.317, -13.2232
48.318, -13.2145
48.319, -13.2224
48.32, -13.2141
48.321, -13.2215
48.322, -13.2137
48.323, -13.2213
48.324, -13.2141
48.325, -13.2214
48.326, -13.2147
48.327, -13.2215
48.328, -13.2152
48.329, -13.2217
48.33, -13.2156
48.331, -13.2218
48.332, -13.2159
48.333, -13.2219
48.334, -13.222
48.335, -13.2161
48.336, -13.2243
48.337, -13.2202
48.338, -13.2267
48.339, -13.2214
48.34, -13.2272
48.341, -13.2215
48.342, -13.2274
48.343, -13.2214
48.344, -13.2274
48.345, -13.2275
48.346, -13.2208
48.347, -13.227
48.348, -13.2197
48.349, -13.2268
48.35, -13.2192
48.351, -13.2271
48.352, -13.2189
48.353, -13.2274
48.354, -13.2188
48.355, -13.2277
48.356, -13.2187
48.357, -13.2279
48.358, -13.2186
48.359, -13.2281
48.36, -13.2186
48.361, -13.2281
48.362, -13.2187
48.363, -13.2281
48.364, -13.2188
48.365, -13.228
48.366, -13.2189
48.367, -13.2278
48.368, -13.219
48.369, -13.2276
48.37, -13.219
48.371, -13.2274
48.372, -13.2191
48.373, -13.2271
48.374, -13.2191
48.375, -13.2268
48.376, -13.2191
48.377, -13.2266
48.378, -13.219
48.379, -13.2264
48.38, -13.219
48.381, -13.2262
48.382, -13.2263
48.383, -13.2189
48.384, -13.2261
48.385, -13.2187
48.386, -13.226
48.387, -13.2186
48.388, -13.2259
48.389, -13.2184
48.39, -13.2259
48.391, -13.2183
48.392, -13.2259
48.393, -13.226
48.394, -13.2183
48.395, -13.226
48.396, -13.2181
48.397, -13.226
48.398, -13.218
48.399, -13.2261
48.4, -13.218
48.401, -13.2262
48.402, -13.2263
48.403, -13.218
48.404, -13.2263
48.405, -13.218
48.406, -13.2263
48.407, -13.2179
48.408, -13.2263
48.409, -13.2176
48.41, -13.2262
48.411, -13.2179
48.412, -13.2261
48.413, -13.2177
48.414, -13.226
48.415, -13.2176
48.416, -13.2259
48.417, -13.2175
48.418, -13.2258
48.419, -13.2174
48.42, -13.2256
48.421, -13.2173
48.422, -13.2253
48.423, -13.217
48.424, -13.2251
48.425, -13.2168
48.426, -13.2249
48.427, -13.2166
48.428, -13.2247
48.429, -13.2164
48.43, -13.2245
48.431, -13.2161
48.432, -13.2242
48.433, -13.2241
48.434, -13.2159
48.435, -13.2238
48.436, -13.2155
48.437, -13.2235
48.438, -13.2151
48.439, -13.2231
48.44, -13.2148
48.441, -13.2228
48.442, -13.2144
48.443, -13.2225
48.444, -13.2138
48.445, -13.222
48.446, -13.2222
48.447, -13.2134
48.448, -13.2218
48.449, -13.2131
48.45, -13.2216
48.451, -13.2128
48.452, -13.2214
48.453, -13.2212
48.454, -13.2126
48.455, -13.2209
48.456, -13.2122
48.457, -13.2206
48.458, -13.2207
48.459, -13.2117
48.46, -13.2203
48.461, -13.2113
48.462, -13.22
48.463, -13.211
48.464, -13.2198
48.465, -13.2197
48.466, -13.2108
48.467, -13.2193
48.468, -13.2104
48.469, -13.219
48.47, -13.21
48.471, -13.2109
48.472, -13.1983
48.473, -13.2063
48.474, -13.2061
48.475, -13.1953
48.476, -13.2065
48.477, -13.1955
48.478, -13.2075
48.479, -13.1963
48.48, -13.2076
48.481, -13.1971
48.482, -13.2085
48.483, -13.2092
48.484, -13.1993
48.485, -13.209
48.486, -13.2004
48.487, -13.2097
48.488, -13.2014
48.489, -13.2107
48.49, -13.2113
48.491, -13.2034
48.492, -13.2121
48.493, -13.2044
48.494, -13.2129
48.495, -13.2132
48.496, -13.206
48.497, -13.2135
48.498, -13.2138
48.499, -13.2071
48.5, -13.2139
48.501, -13.2077
48.502, -13.2142
48.503, -13.2143
48.504, -13.2085
48.505, -13.2143
48.506, -13.2137
48.507, -13.2084
48.508, -13.2139
48.509, -13.2144
48.51, -13.2101
48.511, -13.216
48.512, -13.2112
48.513, -13.2171
48.514, -13.2177
48.515, -13.2118
48.516, -13.2185
48.517, -13.2119
48.518, -13.2193
48.519, -13.2118
48.52, -13.22
48.521, -13.2206
48.522, -13.2114
48.523, -13.2209
48.524, -13.211
48.525, -13.2212
48.526, -13.2105
48.527, -13.2215
48.528, -13.2216
48.529, -13.2101
48.53, -13.2218
48.531, -13.2037
48.532, -13.2128
48.533, -13.2119
48.534, -13.1982
48.535, -13.2122
