sim_time, car2?world_angular_velocity/y
48.001, 0.0115691
48.002, 0.0115643
48.003, 0.0115606
48.004, 0.0115559
48.005, 0.011618
48.006, 0.0116407
48.007, 0.0116466
48.008, 0.0116437
48.009, 0.0116387
48.01, 0.0116318
48.011, 0.0116262
48.012, 0.0116008
48.013, 0.0116277
48.014, 0.0115976
48.015, 0.0116239
48.016, 0.0114604
48.017, 0.0113923
48.018, 0.0113687
48.019, 0.0113666
48.02, 0.0113724
48.021, 0.0113828
48.022, 0.0113929
48.023, 0.0114039
48.024, 0.0114128
48.025, 0.0114217
48.026, 0.0114282
48.027, 0.011495
48.028, 0.0115241
48.029, 0.0115364
48.03, 0.0115391
48.031, 0.0115388
48.032, 0.0115354
48.033, 0.0115321
48.034, 0.0115272
48.035, 0.0115233
48.036, 0.0115183
48.037, 0.0115145
48.038, 0.0115936
48.039, 0.0116249
48.04, 0.0116321
48.041, 0.0116304
48.042, 0.0116235
48.043, 0.0116167
48.044, 0.0116088
48.045, 0.0115964
48.046, 0.0116015
48.047, 0.0115952
48.048, 0.0115901
48.049, 0.0114173
48.05, 0.0113447
48.051, 0.0113215
48.052, 0.011319
48.053, 0.0113272
48.054, 0.0113379
48.055, 0.0113507
48.056, 0.0113619
48.057, 0.0113733
48.058, 0.0113822
48.059, 0.0113909
48.06, 0.0114577
48.061, 0.0114887
48.062, 0.0115005
48.063, 0.0115048
48.064, 0.0115037
48.065, 0.0115015
48.066, 0.0114971
48.067, 0.0114933
48.068, 0.0114882
48.069, 0.011484
48.07, 0.0114787
48.071, 0.0115758
48.072, 0.0116127
48.073, 0.0116229
48.074, 0.0116199
48.075, 0.011613
48.076, 0.0116036
48.077, 0.0115954
48.078, 0.011587
48.079, 0.0115808
48.08, 0.0115749
48.081, 0.0115714
48.082, 0.0113814
48.083, 0.011303
48.084, 0.0112763
48.085, 0.0112741
48.086, 0.0112828
48.087, 0.0112949
48.088, 0.0113077
48.089, 0.0113213
48.09, 0.0113326
48.091, 0.0113437
48.092, 0.0113522
48.093, 0.0114212
48.094, 0.0114519
48.095, 0.0114655
48.096, 0.0114692
48.097, 0.0114696
48.098, 0.0114667
48.099, 0.0114637
48.1, 0.0114589
48.101, 0.0114549
48.102, 0.0114496
48.103, 0.0114454
48.104, 0.0115034
48.105, 0.0115255
48.106, 0.0115292
48.107, 0.0115265
48.108, 0.0115196
48.109, 0.011513
48.11, 0.0115055
48.111, 0.0114998
48.112, 0.0114939
48.113, 0.01149
48.114, 0.011486
48.115, 0.0115204
48.116, 0.0115333
48.117, 0.0115381
48.118, 0.0115381
48.119, 0.011538
48.12, 0.0115367
48.121, 0.0115371
48.122, 0.011537
48.123, 0.0115386
48.124, 0.0115397
48.125, 0.0115426
48.126, 0.0116022
48.127, 0.0116297
48.128, 0.0116403
48.129, 0.0116452
48.13, 0.0116461
48.131, 0.0116472
48.132, 0.0116469
48.133, 0.0116479
48.134, 0.0116481
48.135, 0.0116497
48.136, 0.0116504
48.137, 0.0115298
48.138, 0.01148
48.139, 0.0114655
48.14, 0.0114649
48.141, 0.0114717
48.142, 0.0114795
48.143, 0.0114886
48.144, 0.0114959
48.145, 0.0115031
48.146, 0.0115079
48.147, 0.0115126
48.148, 0.0115704
48.149, 0.0115957
48.15, 0.0116033
48.151, 0.0116043
48.152, 0.0116005
48.153, 0.011596
48.154, 0.0115896
48.155, 0.0115841
48.156, 0.0115775
48.157, 0.0115722
48.158, 0.0115661
48.159, 0.0116194
48.16, 0.0116381
48.161, 0.0116423
48.162, 0.0116388
48.163, 0.0116339
48.164, 0.0116274
48.165, 0.0116224
48.166, 0.0116171
48.167, 0.011614
48.168, 0.0116106
48.169, 0.0116094
48.17, 0.0114664
48.171, 0.0114082
48.172, 0.011389
48.173, 0.011389
48.174, 0.0113957
48.175, 0.0114065
48.176, 0.011417
48.177, 0.0114282
48.178, 0.0114373
