sim_time, car2?world_linear_velocity/y
48.001, -0.0502368
48.002, -0.048458
48.003, -0.0492224
48.004, -0.0472155
48.005, -0.0477725
48.006, -0.0455932
48.007, -0.0460047
48.008, -0.043718
48.009, -0.0440576
48.01, -0.0417368
48.011, -0.0420836
48.012, -0.0398035
48.013, -0.0402346
48.014, -0.0380703
48.015, -0.0386575
48.016, -0.036676
48.017, -0.0374784
48.018, -0.0357321
48.019, -0.036792
48.02, -0.0353154
48.021, -0.0366531
48.022, -0.0354597
48.023, -0.0370747
48.024, -0.0361553
48.025, -0.0380261
48.026, -0.0373495
48.027, -0.0394356
48.028, -0.0389515
48.029, -0.0411945
48.03, -0.0408355
48.031, -0.0431662
48.032, -0.0428552
48.033, -0.045197
48.034, -0.0448532
48.035, -0.047128
48.036, -0.0466732
48.037, -0.0488071
48.038, -0.0481733
48.039, -0.0501029
48.04, -0.0492348
48.041, -0.050911
48.042, -0.0497724
48.043, -0.0511663
48.044, -0.049742
48.045, -0.0508474
48.046, -0.049145
48.047, -0.0499774
48.048, -0.0480239
48.049, -0.04862
48.05, -0.046461
48.051, -0.0468813
48.052, -0.0445818
48.053, -0.0448974
48.054, -0.0425316
48.055, -0.0428227
48.056, -0.0404703
48.057, -0.0408191
48.058, -0.0385595
48.059, -0.0390436
48.06, -0.0369504
48.061, -0.0376366
48.062, -0.0357703
48.063, -0.0367085
48.064, -0.0351128
48.065, -0.0363339
48.066, -0.0350317
48.067, -0.0365444
48.068, -0.0355353
48.069, -0.037326
48.07, -0.0365861
48.071, -0.038621
48.072, -0.0381058
48.073, -0.04033
48.074, -0.0399742
48.075, -0.0423201
48.076, -0.0420465
48.077, -0.0444369
48.078, -0.0441614
48.079, -0.0465146
48.08, -0.0461538
48.081, -0.0483903
48.082, -0.0478658
48.083, -0.0499132
48.084, -0.0491631
48.085, -0.0462827
48.086, -0.0466292
48.087, -0.0491903
48.088, -0.0484976
48.089, -0.0501815
48.09, -0.0489656
48.091, -0.0502504
48.092, -0.0487079
48.093, -0.0497015
48.094, -0.0479031
48.095, -0.0486577
48.096, -0.0466524
48.097, -0.0472202
48.098, -0.0450631
48.099, -0.0455063
48.1, -0.0432614
48.101, -0.0436507
48.102, -0.0413885
48.103, -0.0417987
48.104, -0.0395921
48.105, -0.0400963
48.106, -0.0380135
48.107, -0.0386763
48.108, -0.0367769
48.109, -0.037651
48.11, -0.0359811
48.111, -0.0371022
48.112, -0.0356904
48.113, -0.0370751
48.114, -0.0359296
48.115, -0.0375743
48.116, -0.0366826
48.117, -0.0385631
48.118, -0.0378915
48.119, -0.039966
48.12, -0.0394631
48.121, -0.0416752
48.122, -0.0412758
48.123, -0.0435582
48.124, -0.0431887
48.125, -0.0454682
48.126, -0.0450531
48.127, -0.0472563
48.128, -0.046723
48.129, -0.0487811
48.13, -0.0480668
