sim_time, car2?world_pose/position/x
48.001, 244.328
48.002, 244.315
48.003, 244.302
48.004, 244.288
48.005, 244.275
48.006, 244.262
48.007, 244.249
48.008, 244.235
48.009, 244.222
48.01, 244.209
48.011, 244.196
48.012, 244.182
48.013, 244.169
48.014, 244.156
48.015, 244.143
48.016, 244.129
48.017, 244.116
48.018, 244.103
48.019, 244.09
48.02, 244.076
48.021, 244.063
48.022, 244.05
48.023, 244.037
48.024, 244.023
48.025, 244.01
48.026, 243.997
48.027, 243.984
48.028, 243.97
48.029, 243.957
48.03, 243.944
48.031, 243.931
48.032, 243.917
48.033, 243.904
48.034, 243.891
48.035, 243.878
48.036, 243.865
48.037, 243.851
48.038, 243.838
48.039, 243.825
48.04, 243.812
48.041, 243.798
48.042, 243.785
48.043, 243.772
48.044, 243.759
48.045, 243.745
48.046, 243.732
48.047, 243.719
48.048, 243.706
48.049, 243.692
48.05, 243.679
48.051, 243.666
48.052, 243.653
48.053, 243.639
48.054, 243.626
48.055, 243.613
48.056, 243.6
48.057, 243.586
48.058, 243.573
48.059, 243.56
48.06, 243.547
48.061, 243.533
48.062, 243.52
48.063, 243.507
48.064, 243.494
48.065, 243.48
48.066, 243.467
48.067, 243.454
48.068, 243.441
48.069, 243.427
48.07, 243.414
48.071, 243.401
48.072, 243.388
48.073, 243.374
48.074, 243.361
48.075, 243.348
48.076, 243.335
48.077, 243.321
48.078, 243.308
48.079, 243.295
48.08, 243.282
48.081, 243.268
48.082, 243.255
48.083, 243.242
48.084, 243.229
48.085, 243.215
48.086, 243.202
48.087, 243.189
48.088, 243.176
48.089, 243.162
48.09, 243.149
48.091, 243.136
48.092, 243.123
48.093, 243.109
48.094, 243.096
48.095, 243.083
48.096, 243.07
48.097, 243.056
48.098, 243.043
48.099, 243.03
48.1, 243.017
48.101, 243.003
48.102, 242.99
48.103, 242.977
48.104, 242.964
48.105, 242.951
48.106, 242.937
48.107, 242.924
48.108, 242.911
48.109, 242.898
48.11, 242.884
48.111, 242.871
48.112, 242.858
48.113, 242.845
48.114, 242.831
48.115, 242.818
48.116, 242.805
48.117, 242.792
48.118, 242.778
48.119, 242.765
48.12, 242.752
48.121, 242.739
48.122, 242.725
48.123, 242.712
48.124, 242.699
48.125, 242.686
48.126, 242.672
48.127, 242.659
48.128, 242.646
48.129, 242.633
48.13, 242.619
48.131, 242.606
48.132, 242.593
48.133, 242.58
48.134, 242.566
48.135, 242.553
48.136, 242.54
48.137, 242.527
48.138, 242.513
48.139, 242.5
48.14, 242.487
48.141, 242.474
48.142, 242.46
48.143, 242.447
48.144, 242.434
48.145, 242.421
48.146, 242.408
48.147, 242.394
48.148, 242.381
48.149, 242.368
48.15, 242.355
48.151, 242.341
48.152, 242.328
48.153, 242.315
48.154, 242.302
48.155, 242.288
48.156, 242.275
48.157, 242.262
48.158, 242.249
48.159, 242.235
48.16, 242.222
48.161, 242.209
48.162, 242.196
48.163, 242.182
48.164, 242.169
48.165, 242.156
48.166, 242.143
48.167, 242.129
48.168, 242.116
48.169, 242.103
48.17, 242.09
48.171, 242.076
48.172, 242.063
48.173, 242.05
48.174, 242.037
48.175, 242.023
48.176, 242.01
48.177, 241.997
48.178, 241.984
48.179, 241.97
48.18, 241.957
48.181, 241.944
48.182, 241.931
48.183, 241.917
48.184, 241.904
48.185, 241.891
48.186, 241.878
48.187, 241.864
48.188, 241.851
48.189, 241.838
48.19, 241.825
48.191, 241.811
48.192, 241.798
48.193, 241.785
48.194, 241.772
48.195, 241.759
48.196, 241.745
48.197, 241.732
48.198, 241.719
48.199, 241.706
48.2, 241.692
48.201, 241.679
48.202, 241.666
48.203, 241.653
48.204, 241.639
48.205, 241.626
48.206, 241.613
48.207, 241.6
48.208, 241.586
48.209, 241.573
48.21, 241.56
48.211, 241.547
48.212, 241.533
48.213, 241.52
48.214, 241.507
48.215, 241.494
48.216, 241.48
48.217, 241.467
48.218, 241.454
48.219, 241.441
48.22, 241.427
48.221, 241.414
48.222, 241.401
48.223, 241.388
48.224, 241.374
48.225, 241.361
48.226, 241.348
48.227, 241.335
48.228, 241.321
48.229, 241.308
48.23, 241.295
48.231, 241.282
48.232, 241.268
48.233, 241.255
48.234, 241.242
48.235, 241.229
48.236, 241.215
48.237, 241.202
48.238, 241.189
48.239, 241.176
48.24, 241.162
48.241, 241.149
48.242, 241.136
48.243, 241.123
48.244, 241.11
48.245, 241.096
48.246, 241.083
48.247, 241.07
48.248, 241.057
48.249, 241.043
48.25, 241.03
48.251, 241.017
48.252, 241.004
48.253, 240.99
48.254, 240.977
48.255, 240.964
48.256, 240.951
48.257, 240.937
48.258, 240.924
48.259, 240.911
48.26, 240.898
48.261, 240.884
48.262, 240.871
48.263, 240.858
48.264, 240.845
48.265, 240.831
48.266, 240.818
48.267, 240.805
48.268, 240.792
48.269, 240.778
48.27, 240.765
48.271, 240.752
48.272, 240.739
48.273, 240.725
48.274, 240.712
48.275, 240.699
48.276, 240.686
48.277, 240.673
48.278, 240.659
48.279, 240.646
48.28, 240.633
48.281, 240.62
48.282, 240.606
48.283, 240.593
48.284, 240.58
48.285, 240.567
48.286, 240.553
48.287, 240.54
48.288, 240.527
48.289, 240.514
48.29, 240.5
48.291, 240.487
48.292, 240.474
48.293, 240.461
48.294, 240.447
48.295, 240.434
48.296, 240.421
48.297, 240.408
48.298, 240.394
48.299, 240.381
48.3, 240.368
48.301, 240.355
48.302, 240.341
48.303, 240.328
48.304, 240.315
48.305, 240.302
48.306, 240.288
48.307, 240.275
48.308, 240.262
48.309, 240.249
48.31, 240.235
48.311, 240.222
48.312, 240.209
48.313, 240.196
48.314, 240.183
48.315, 240.169
48.316, 240.156
48.317, 240.143
48.318, 240.13
48.319, 240.116
48.32, 240.103
48.321, 240.09
48.322, 240.077
48.323, 240.063
48.324, 240.05
48.325, 240.037
48.326, 240.024
48.327, 240.01
48.328, 239.997
48.329, 239.984
48.33, 239.971
48.331, 239.957
48.332, 239.944
48.333, 239.931
48.334, 239.918
48.335, 239.904
48.336, 239.891
48.337, 239.878
48.338, 239.865
48.339, 239.851
48.34, 239.838
48.341, 239.825
48.342, 239.812
48.343, 239.798
48.344, 239.785
48.345, 239.772
48.346, 239.759
48.347, 239.745
48.348, 239.732
48.349, 239.719
48.35, 239.706
48.351, 239.692
48.352, 239.679
48.353, 239.666
48.354, 239.653
48.355, 239.639
48.356, 239.626
48.357, 239.613
48.358, 239.6
48.359, 239.587
48.36, 239.573
48.361, 239.56
48.362, 239.547
48.363, 239.534
48.364, 239.52
48.365, 239.507
48.366, 239.494
48.367, 239.481
48.368, 239.467
48.369, 239.454
48.37, 239.441
48.371, 239.428
48.372, 239.414
48.373, 239.401
48.374, 239.388
48.375, 239.375
48.376, 239.361
48.377, 239.348
48.378, 239.335
48.379, 239.322
48.38, 239.308
48.381, 239.295
48.382, 239.282
48.383, 239.269
48.384, 239.255
48.385, 239.242
48.386, 239.229
48.387, 239.216
48.388, 239.202
48.389, 239.189
48.39, 239.176
48.391, 239.163
48.392, 239.149
48.393, 239.136
48.394, 239.123
48.395, 239.11
48.396, 239.096
48.397, 239.083
48.398, 239.07
48.399, 239.057
48.4, 239.043
48.401, 239.03
48.402, 239.017
48.403, 239.004
48.404, 238.991
48.405, 238.977
48.406, 238.964
48.407, 238.951
48.408, 238.938
48.409, 238.924
48.41, 238.911
48.411, 238.898
48.412, 238.885
48.413, 238.871
48.414, 238.858
48.415, 238.845
48.416, 238.832
48.417, 238.818
48.418, 238.805
48.419, 238.792
48.42, 238.779
48.421, 238.765
48.422, 238.752
48.423, 238.739
48.424, 238.726
48.425, 238.712
48.426, 238.699
48.427, 238.686
48.428, 238.673
48.429, 238.659
48.43, 238.646
48.431, 238.633
48.432, 238.62
48.433, 238.606
48.434, 238.593
48.435, 238.58
48.436, 238.567
48.437, 238.554
48.438, 238.54
48.439, 238.527
48.44, 238.514
48.441, 238.501
48.442, 238.487
48.443, 238.474
48.444, 238.461
48.445, 238.448
48.446, 238.434
48.447, 238.421
48.448, 238.408
48.449, 238.395
48.45, 238.381
48.451, 238.368
48.452, 238.355
48.453, 238.342
48.454, 238.328
48.455, 238.315
48.456, 238.302
48.457, 238.289
48.458, 238.275
48.459, 238.262
48.46, 238.249
48.461, 238.236
48.462, 238.223
48.463, 238.209
48.464, 238.196
48.465, 238.183
48.466, 238.17
48.467, 238.156
48.468, 238.143
48.469, 238.13
48.47, 238.117
48.471, 238.103
48.472, 238.09
48.473, 238.077
48.474, 238.064
48.475, 238.05
48.476, 238.037
48.477, 238.024
48.478, 238.011
48.479, 237.997
48.48, 237.984
48.481, 237.971
48.482, 237.958
48.483, 237.944
48.484, 237.931
48.485, 237.918
48.486, 237.905
48.487, 237.891
48.488, 237.878
48.489, 237.865
48.49, 237.852
48.491, 237.839
48.492, 237.825
48.493, 237.812
48.494, 237.799
48.495, 237.786
48.496, 237.772
48.497, 237.759
48.498, 237.746
48.499, 237.733
48.5, 237.719
48.501, 237.706
48.502, 237.693
48.503, 237.68
48.504, 237.666
48.505, 237.653
48.506, 237.64
48.507, 237.627
48.508, 237.613
48.509, 237.6
48.51, 237.587
48.511, 237.574
48.512, 237.56
48.513, 237.547
48.514, 237.534
48.515, 237.521
48.516, 237.507
48.517, 237.494
48.518, 237.481
48.519, 237.468
48.52, 237.455
48.521, 237.441
48.522, 237.428
48.523, 237.415
48.524, 237.402
48.525, 237.388
48.526, 237.375
48.527, 237.362
48.528, 237.349
48.529, 237.335
48.53, 237.322
48.531, 237.309
48.532, 237.296
48.533, 237.282
48.534, 237.269
48.535, 237.256
48.536, 237.243
48.537, 237.229
48.538, 237.216
48.539, 237.203
48.54, 237.19
48.541, 237.176
48.542, 237.163
48.543, 237.15
48.544, 237.137
48.545, 237.123
48.546, 237.11
48.547, 237.097
48.548, 237.084
48.549, 237.071
48.55, 237.057
48.551, 237.044
48.552, 237.031
48.553, 237.018
48.554, 237.004
48.555, 236.991
48.556, 236.978
48.557, 236.965
48.558, 236.951
48.559, 236.938
48.56, 236.925
48.561, 236.912
48.562, 236.898
48.563, 236.885
48.564, 236.872
48.565, 236.859
48.566, 236.845
48.567, 236.832
48.568, 236.819
48.569, 236.806
48.57, 236.792
48.571, 236.779
48.572, 236.766
48.573, 236.753
48.574, 236.739
48.575, 236.726
48.576, 236.713
48.577, 236.7
48.578, 236.687
48.579, 236.673
48.58, 236.66
48.581, 236.647
48.582, 236.634
48.583, 236.62
48.584, 236.607
48.585, 236.594
48.586, 236.581
48.587, 236.567
48.588, 236.554
48.589, 236.541
48.59, 236.528
48.591, 236.514
48.592, 236.501
48.593, 236.488
48.594, 236.475
48.595, 236.461
48.596, 236.448
48.597, 236.435
48.598, 236.422
48.599, 236.408
48.6, 236.395
48.601, 236.382
48.602, 236.369
48.603, 236.356
48.604, 236.342
48.605, 236.329
48.606, 236.316
48.607, 236.303
48.608, 236.289
48.609, 236.276
48.61, 236.263
48.611, 236.25
48.612, 236.236
48.613, 236.223
48.614, 236.21
48.615, 236.197
48.616, 236.183
48.617, 236.17
48.618, 236.157
48.619, 236.144
48.62, 236.13
48.621, 236.117
48.622, 236.104
48.623, 236.091
48.624, 236.078
48.625, 236.064
48.626, 236.051
48.627, 236.038
48.628, 236.025
48.629, 236.011
48.63, 235.998
48.631, 235.985
48.632, 235.972
48.633, 235.958
48.634, 235.945
48.635, 235.932
48.636, 235.919
48.637, 235.905
48.638, 235.892
48.639, 235.879
48.64, 235.866
48.641, 235.852
48.642, 235.839
48.643, 235.826
48.644, 235.813
48.645, 235.799
48.646, 235.786
48.647, 235.773
48.648, 235.76
48.649, 235.746
48.65, 235.733
48.651, 235.72
48.652, 235.707
48.653, 235.694
48.654, 235.68
48.655, 235.667
48.656, 235.654
48.657, 235.641
48.658, 235.627
48.659, 235.614
48.66, 235.601
48.661, 235.588
48.662, 235.574
48.663, 235.561
48.664, 235.548
48.665, 235.535
48.666, 235.521
48.667, 235.508
48.668, 235.495
48.669, 235.482
48.67, 235.468
48.671, 235.455
48.672, 235.442
48.673, 235.429
48.674, 235.415
48.675, 235.402
48.676, 235.389
48.677, 235.376
48.678, 235.363
48.679, 235.349
48.68, 235.336
48.681, 235.323
48.682, 235.31
48.683, 235.296
48.684, 235.283
48.685, 235.27
48.686, 235.257
48.687, 235.243
48.688, 235.23
48.689, 235.217
48.69, 235.204
48.691, 235.19
48.692, 235.177
48.693, 235.164
48.694, 235.151
48.695, 235.137
48.696, 235.124
48.697, 235.111
48.698, 235.098
48.699, 235.084
48.7, 235.071
48.701, 235.058
48.702, 235.045
48.703, 235.031
48.704, 235.018
48.705, 235.005
48.706, 234.992
48.707, 234.978
48.708, 234.965
48.709, 234.952
48.71, 234.939
48.711, 234.926
48.712, 234.912
48.713, 234.899
48.714, 234.886
48.715, 234.873
48.716, 234.859
48.717, 234.846
48.718, 234.833
48.719, 234.82
48.72, 234.806
48.721, 234.793
48.722, 234.78
48.723, 234.767
48.724, 234.753
48.725, 234.74
48.726, 234.727
48.727, 234.714
48.728, 234.7
48.729, 234.687
48.73, 234.674
48.731, 234.661
48.732, 234.647
48.733, 234.634
48.734, 234.621
48.735, 234.608
48.736, 234.595
48.737, 234.581
48.738, 234.568
48.739, 234.555
48.74, 234.542
48.741, 234.528
48.742, 234.515
48.743, 234.502
48.744, 234.489
48.745, 234.475
48.746, 234.462
48.747, 234.449
48.748, 234.436
48.749, 234.422
48.75, 234.409
48.751, 234.396
48.752, 234.383
48.753, 234.369
48.754, 234.356
48.755, 234.343
48.756, 234.33
48.757, 234.316
48.758, 234.303
48.759, 234.29
48.76, 234.277
48.761, 234.264
48.762, 234.25
48.763, 234.237
48.764, 234.224
48.765, 234.211
48.766, 234.197
48.767, 234.184
48.768, 234.171
48.769, 234.158
48.77, 234.144
48.771, 234.131
48.772, 234.118
48.773, 234.105
48.774, 234.091
48.775, 234.078
48.776, 234.065
48.777, 234.052
48.778, 234.038
48.779, 234.025
48.78, 234.012
48.781, 233.999
48.782, 233.985
48.783, 233.972
48.784, 233.959
48.785, 233.946
48.786, 233.933
48.787, 233.919
48.788, 233.906
48.789, 233.893
48.79, 233.88
48.791, 233.866
48.792, 233.853
48.793, 233.84
48.794, 233.827
48.795, 233.813
48.796, 233.8
48.797, 233.787
48.798, 233.774
48.799, 233.76
48.8, 233.747
48.801, 233.734
48.802, 233.721
